,https://roic.ai/company/WISA,2016,2017,2018,2019,2020,2021
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1682149/000114420419016754/0001144204-19-016754-index.htm,https://www.sec.gov/Archives/edgar/data/1682149/000110465920037958/0001104659-20-037958-index.htm,https://www.sec.gov/Archives/edgar/data/1682149/000110465921036564/0001104659-21-036564-index.htm,https://www.sec.gov/Archives/edgar/data/1682149/000141057822000337/0001410578-22-000337-index.htm
72,CASH FLOW STATEMENT, , , , , , 
73,Net Income,-9708269,-25652213,-67356411,-12038000,-12705000,-11820000
74,Depreciation and Amortization,146153,65178,75286,91000,94000,79000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,615548,- -,3073911,105000,958000,1346000
77,Change in Working Capital,1856671,-1398282,11718877,-2447517,7516000,-1476000
78,Accounts Receivable,31229,-47700,-57517,4000,23000,-129000
79,Inventory,-87339,-384648,-690545,-1283000,-42000,-2072000
80,Accounts Payable,194145,295190,-752349,1022000,-882000,877000
81,Other Working Capital,-6557078,-7955360,3763517,1316000,8832000,- -
82,Other Non-Cash Items,645385,16596826,42536187,3257517,-5722000,363000
83,Cash Provided by Operating Activities,-6444512,-10388491,-9952150,-11032000,-9859000,-11508000
84,CAPEX,- -,-166021,-86793,-35000,-52000,-99000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,-100000,- -,1000,- -,- -
89,Cash Used for Investing Activites,- -,-166021,-86793,-34000,-52000,-99000
90,Debt Repayment,-305914,-5067500,-200000,- -,-2160000,-29000
91,Common Stock Issued,219750,- -,10272679,6149000,16156000,9026000
92,Common Stock Repurchased,- -,-25000,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,-134000,- -
94,Other Financing Activites,6598246,15808383,2937797,2000000,3166000,8303000
95,Cash Used/Provided by Financing Activities,6512082,10715883,13010476,8149000,17028000,17300000
96,Effect of Forex Changes on Cash,-746,-4490,-3121,-3000,- -,- -
97,Net Change In Cash,66824,156881,2968412,-2920000,7117000,5693000
98,Cash at the End of Period,92262,249143,3217555,298000,7415000,13108000
99,Cash at the Beginning of Period,25438,92262,249143,3218000,298000,7415000
100,Free Cash Flow,-6444512,-10554512,-10038943,-11067000,-9911000,-11607000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1682149/000114420419016754/0001144204-19-016754-index.htm,https://www.sec.gov/Archives/edgar/data/1682149/000110465920037958/0001104659-20-037958-index.htm,https://www.sec.gov/Archives/edgar/data/1682149/000110465921036564/0001104659-21-036564-index.htm,https://www.sec.gov/Archives/edgar/data/1682149/000141057822000337/0001410578-22-000337-index.htm
102,false,,,,,,
