,https://roic.ai/company/BWAY,2013,2014,2015,2016,2017,2018,2019,2020,2021
49,Short-Term Debt,- -,- -,- -,810000,1631000,750000,414000,429000,- -
50,Tax Payable,- -,- -,- -,- -,128000,130000,1000,- -,- -
51,Deferred Revenue,- -,2758000,2724000,1861000,2448000,1333000,1305000,1543000,2195000
52,Other Current Liabilities,- -,1185000,1228000,914000,423000,4013000,3679000,4047000,5770000
53,Total Current Liabilities,- -,5471000,4896000,4395000,6133000,8339000,6718000,6800000,9068000
54,Long-Term Debt,- -,- -,- -,- -,2727000,2083000,- -,- -,- -
55,Deferred Revenue,- -,4050000,4397000,374000,309000,1108000,2353000,2015000,3419000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,673000,55000,4908000,5140000,5120000,5445000,5562000,5921000
58,Total Non-Current Liabilities,- -,4723000,4452000,5282000,8176000,8311000,7798000,7577000,9340000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,414000,429000,- -
61,Total Liabilities,- -,10194000,9348000,9677000,14309000,16650000,14516000,14377000,18408000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,146000,147000,149000,171000,171000,233000,233000,362000
64,Retained Earnings,- -,-41564000,-45651000,-48048000,-55102000,-61581000,-71909000,-77294000,-83756000
65,Other Comprehensive Income/Loss,- -,-1150000,-1271000,-1271000,-1271000,-2188000,-2188000,-2188000,-2188000
66,Other Total Stockholders Equity,- -,58145000,59670000,59457000,68923000,70550000,98084000,98883000,142906000
67,Total Stockholders Equity,- -,15577000,12895000,10287000,12721000,6952000,24220000,19634000,57324000
68,Total Liabilities And Stockholders Equity,- -,25771000,22243000,19964000,27030000,23602000,38736000,34011000,75732000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,25771000,22243000,19964000,27030000,23602000,38736000,34011000,75732000
71,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , 
73,Net Income,-7122000,-6545000,-4087000,-2397000,-7054000,-6479000,-10328000,-5385000,-6462000
74,Depreciation and Amortization,206000,336000,611000,649000,1072000,1228000,2795000,2679000,1686000
75,Deferred Income Tax,28000,- -,- -,- -,169000,209000,422000,237000,43000
76,Stock Based Compensation,402000,1408000,1416000,-420000,1028000,710000,1263000,799000,1893000
77,Change in Working Capital,1263000,1647000,-2090000,-580000,1088000,-204000,-2153000,179000,1068000
78,Accounts Receivable,-228000,-699000,-1162000,-499000,-21000,-419000,-2634000,-7000,-849000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,-207000,550000,-437000,137000,310000,859000,175000,-552000,289000
81,Other Working Capital,1550000,1530000,-133000,-482000,523000,-314000,555000,320000,2039000
82,Other Non-Cash Items,2860000,-639000,-402000,346000,230000,763000,757000,55000,2656000
83,Cash Provided by Operating Activities,-2363000,-3793000,-4552000,-2402000,-3467000,-3773000,-7244000,-1436000,884000
84,CAPEX,-4044000,-1496000,-2270000,-408000,-985000,-1972000,-3311000,-2470000,-2238000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,-5000,-12000,-5000,- -,-1000,-171000,- -,- -,-40000000
87,Sales/Maturities of Investments,3449000,423000,495000,10000,535000,- -,- -,5000,22000
88,Other Investing Activites,2000,- -,2000,5000,-2000000,1007000,865000,- -,- -
89,Cash Used for Investing Activites,-598000,-1085000,-1778000,-393000,-2451000,-1136000,-2446000,-2465000,-42216000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,-434000,-417000,-475000
91,Common Stock Issued,- -,1346000,- -,179000,8445000,- -,26333000,- -,42260000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,9199000,12081000,514000,391000,2663000,-265000,-3425000,-613000,-269000
95,Cash Used/Provided by Financing Activities,9199000,13427000,514000,570000,11108000,-265000,22474000,-1030000,41516000
96,Effect of Forex Changes on Cash,58000,-1960000,-90000,44000,145000,-367000,-78000,218000,-224000
97,Net Change In Cash,6296000,6589000,-5906000,-2181000,5335000,-5541000,12706000,-4713000,-40000
98,Cash at the End of Period,10672000,17261000,11355000,9174000,14509000,8968000,21674000,16961000,16921000
99,Cash at the Beginning of Period,4376000,10672000,17261000,11355000,9174000,14509000,8968000,21674000,16961000
100,Free Cash Flow,-6407000,-5289000,-6822000,-2810000,-4452000,-5745000,-10555000,-3906000,-1354000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -
102,false,,,,,,,,,
