,https://roic.ai/company/WECT,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1409175/000106299308004745/0001062993-08-004745-index.html,https://www.sec.gov/Archives/edgar/data/1409175/000106299309003776/0001062993-09-003776-index.html,https://www.sec.gov/Archives/edgar/data/1409175/000106299310003497/0001062993-10-003497-index.html,https://www.sec.gov/Archives/edgar/data/1409175/000106299311004054/0001062993-11-004054-index.html,https://www.sec.gov/Archives/edgar/data/1409175/000106299312004247/0001062993-12-004247-index.html,https://www.sec.gov/Archives/edgar/data/1409175/000106299313005150/0001062993-13-005150-index.html,https://www.sec.gov/Archives/edgar/data/1409175/000106299314006141/0001062993-14-006141-index.html,https://www.sec.gov/Archives/edgar/data/1409175/000106299315005635/0001062993-15-005635-index.html,https://www.sec.gov/Archives/edgar/data/1409175/000106299316011865/0001062993-16-011865-index.html,https://www.sec.gov/Archives/edgar/data/1409175/000168316817002765/0001683168-17-002765-index.html,https://www.sec.gov/Archives/edgar/data/1409175/000168316818003167/0001683168-18-003167-index.html,https://www.sec.gov/Archives/edgar/data/1409175/000168316819003381/0001683168-19-003381-index.html,https://www.sec.gov/Archives/edgar/data/1409175/000168316821002391/0001683168-21-002391-index.htm,https://www.sec.gov/Archives/edgar/data/1409175/000168316821005029/0001683168-21-005029-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,80000,20000,20000,90000,60000,20000,10000,10000,5590,530,68080,14160,3340,544,542
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,80000,20000,20000,90000,60000,20000,10000,10000,5590,530,68080,14160,3340,544,542
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,233700,786790,66840,- -,- -
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,22330,3290,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,2600,2600,-10,- -,- -,- -,- -
37,Total Current Assets,80000,20000,20000,90000,60000,20000,10000,10000,8190,3130,324100,804240,70180,544,542
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,128280,118610,88650,- -,- -
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8610,9610,9450,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-8600,-9610,-9450,- -,- -
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,128290,118610,88650,- -,- -
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,80000,20000,20000,90000,60000,20000,10000,10000,8190,3130,452390,922850,158830,544,542
48,Accounts Payable,20000,70000,130000,140000,150000,140000,170000,200000,200660,234980,7020,1520,75780,83458,85956
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10792,21211,21194,21199
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,10000,10000,- -,- -,- -,- -,- -,- -,460,770,1547570,636760,1291910,2190878,2236458
53,Total Current Liabilities,30000,80000,130000,140000,150000,140000,170000,200000,201120,235750,1554590,638280,1367690,2274336,2322414
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10792,21211,- -,9236
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8610,-1192,-11761,9143,- -
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8610,9600,9450,9143,9236
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,30000,80000,130000,140000,150000,140000,170000,200000,201120,235750,1563200,647880,1377140,2283479,2331650
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,10000,10000,10000,20000,20000,20000,20000,20000,16530,16530,1899690,5117460,593610,593610,593610
64,Retained Earnings,-20000,-140000,-210000,-640000,-700000,-760000,-810000,-860000,-883970,-941660,-3642860,-5048960,-6535340,- -,-7667225
65,Other Comprehensive Income/Loss,1131,23881,- -,- -,- -,- -,- -,- -,- -,- -,- -,-228461,-235369,-196823,-216274
66,Other Total Stockholders Equity,56324,52472,96115,577352,596431,616176,630151,650170,674510,692510,1452523,434930,4958784,-2679722,4958781
67,Total Stockholders Equity,47455,-53647,-103885,-42648,-83569,-123824,-159849,-189830,-192930,-232620,-290647,274969,-1218315,-2282935,-2331108
68,Total Liabilities And Stockholders Equity,77455,26353,26115,97352,66431,16176,10151,10170,8190,3130,1272553,922849,158825,544,542
69,Minority Interest,2545,-6353,-6115,-7352,-6431,3824,-151,-170,- -,- -,-820163,1,5,- -,- -
70,Total Liabilities & Equity,80000,20000,20000,90000,60000,20000,10000,10000,8190,3130,452390,922850,158830,544,542
71,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1409175/000106299308004745/0001062993-08-004745-index.html,https://www.sec.gov/Archives/edgar/data/1409175/000106299309003776/0001062993-09-003776-index.html,https://www.sec.gov/Archives/edgar/data/1409175/000106299310003497/0001062993-10-003497-index.html,https://www.sec.gov/Archives/edgar/data/1409175/000106299311004054/0001062993-11-004054-index.html,https://www.sec.gov/Archives/edgar/data/1409175/000106299312004247/0001062993-12-004247-index.html,https://www.sec.gov/Archives/edgar/data/1409175/000106299313005150/0001062993-13-005150-index.html,https://www.sec.gov/Archives/edgar/data/1409175/000106299314006141/0001062993-14-006141-index.html,https://www.sec.gov/Archives/edgar/data/1409175/000106299315005635/0001062993-15-005635-index.html,https://www.sec.gov/Archives/edgar/data/1409175/000106299316011865/0001062993-16-011865-index.html,https://www.sec.gov/Archives/edgar/data/1409175/000168316817002765/0001683168-17-002765-index.html,https://www.sec.gov/Archives/edgar/data/1409175/000168316818003167/0001683168-18-003167-index.html,https://www.sec.gov/Archives/edgar/data/1409175/000168316819003381/0001683168-19-003381-index.html,https://www.sec.gov/Archives/edgar/data/1409175/000168316821002391/0001683168-21-002391-index.htm,https://www.sec.gov/Archives/edgar/data/1409175/000168316821005029/0001683168-21-005029-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , 
73,Net Income,-20000,-120000,-70000,-430000,-60000,-60000,-50000,- -,-20000,-60000,-1705260,-1406100,-1486380,-1103166,-28722
74,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,22690,28540,26920,16687,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,28762,-110000,-50000,60000,-40000,-30000,-40000,-30000,-2930,-39690,-997870,1396450,-1463470,-976282,48171
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,179,-11767,11696,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-19043,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,-16,- -,- -,- -,- -,-5507,74236,9258,2498
81,Other Working Capital,50000,-60000,-110000,-50000,-90000,-120000,-160000,-190000,-192930,-232620,-1230490,165960,-1297510,-2273792,- -
82,Other Non-Cash Items,11238,170000,60000,330000,60000,40000,80000,-10000,-17150,59520,1989310,-2794170,2910760,2059836,-19451
83,Cash Provided by Operating Activities,20000,-60000,-60000,-40000,-40000,-50000,-10000,-40000,-40080,-40170,-691130,-2775280,-12170,-2925,-2
84,CAPEX,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-68830,-70669,-496,126,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-367,- -,2084,- -,- -
89,Cash Used for Investing Activites,-2500,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-70669,1588,126,- -
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2940687,- -,- -,- -
92,Common Stock Repurchased,60000,10000,- -,- -,- -,- -,- -,- -,- -,- -,436840,2940690,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,250,-5250,59103,112500,- -,- -,- -,41724,38439,33588,-388145,-2940690,3343,- -,- -
95,Cash Used/Provided by Financing Activities,60250,4750,59103,112500,- -,- -,- -,41724,38439,33588,48695,2940687,- -,- -,- -
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,10161,- -,- -,- -,-970,1529,-367,-148650,-233,- -,- -
97,Net Change In Cash,80000,-60000,- -,70000,-30000,-50000,-10000,- -,-2610,-5050,-350500,-53920,-10820,-2799,-2
98,Cash at the End of Period,80000,20000,20000,90000,60000,10000,10000,10000,7390,540,-349970,14160,3340,544,542
99,Cash at the Beginning of Period,- -,80000,20000,20000,90000,60000,20000,10000,10000,5590,530,68080,14160,3343,544
100,Free Cash Flow,20000,-60000,-60000,-40000,-40000,-50000,-10000,-40000,-40080,-40170,-759960,-2845950,-12670,-2799,-2
101,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1409175/000106299308004745/0001062993-08-004745-index.html,https://www.sec.gov/Archives/edgar/data/1409175/000106299309003776/0001062993-09-003776-index.html,https://www.sec.gov/Archives/edgar/data/1409175/000106299310003497/0001062993-10-003497-index.html,https://www.sec.gov/Archives/edgar/data/1409175/000106299311004054/0001062993-11-004054-index.html,https://www.sec.gov/Archives/edgar/data/1409175/000106299312004247/0001062993-12-004247-index.html,https://www.sec.gov/Archives/edgar/data/1409175/000106299313005150/0001062993-13-005150-index.html,https://www.sec.gov/Archives/edgar/data/1409175/000106299314006141/0001062993-14-006141-index.html,https://www.sec.gov/Archives/edgar/data/1409175/000106299315005635/0001062993-15-005635-index.html,https://www.sec.gov/Archives/edgar/data/1409175/000106299316011865/0001062993-16-011865-index.html,https://www.sec.gov/Archives/edgar/data/1409175/000168316817002765/0001683168-17-002765-index.html,https://www.sec.gov/Archives/edgar/data/1409175/000168316818003167/0001683168-18-003167-index.html,https://www.sec.gov/Archives/edgar/data/1409175/000168316819003381/0001683168-19-003381-index.html,https://www.sec.gov/Archives/edgar/data/1409175/000168316821002391/0001683168-21-002391-index.htm,https://www.sec.gov/Archives/edgar/data/1409175/000168316821005029/0001683168-21-005029-index.htm
102,false,,,,,,,,,,,,,,,
