,https://roic.ai/company/EQC-PD,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
20,Income Before Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,122206000,84079000,77401000,80301000,63156000,104292000,52745000,-63000,102221000,233639000,30166000,276064000,494150000,452341000,-16309000
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.1455,0.1006,0.0911,0.1012,0.0693,0.1029,0.0596,-0.0001,0.1430,0.4666,0.0886,1.4012,3.8651,6.8249,-0.2812
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,395000,773000,735000,550000,1347000,3207000,2634000,3191000,2364000,745000,500000,3156000,1284000,248000,-120000
23,Net Income,200000,6100000,7700000,7900000,14300000,22100000,27200000,33400000,49919000,64236000,73254000,114000000,144516000,113862000,142272000,82804000,106763000,114446000,162829000,164984000,250580000,124255000,244645000,164674000,135409000,109984000,-95421000,-177060000,24012000,99857000,232894000,29656000,272813000,492680000,451294000,-16189000
24,Net Income ratio,1.0000,0.5648,0.4074,0.3405,0.4347,0.5046,0.5585,0.5912,0.5759,0.5701,0.6095,0.5458,0.4053,0.2663,0.3513,0.2101,0.2560,0.2286,0.2699,0.2321,0.3149,0.1479,0.2928,0.1938,0.1707,0.1206,-0.0942,-0.1999,0.0279,0.1397,0.4652,0.0871,1.3847,3.8536,6.8091,-0.2791
25,EPS,0.00,0.04,0.05,0.05,0.10,0.15,0.18,0.23,0.34,0.43,0.49,0.77,0.97,0.77,0.96,0.56,0.72,0.77,1.10,1.11,1.69,0.84,1.65,1.11,0.91,0.74,-0.64,-1.19,0.16,0.67,1.57,0.20,1.84,3.32,3.04,-0.11
26,EPS Diluted,0.00,0.04,0.05,0.05,0.10,0.15,0.18,0.23,0.34,0.43,0.49,0.77,0.97,0.77,0.96,0.56,0.72,0.77,1.10,1.11,1.69,0.84,1.65,1.11,0.91,0.74,-0.64,-1.19,0.16,0.67,1.57,0.20,1.84,3.32,3.04,-0.11
27,Weighted Average Shares Outstanding,148404005,148404005,148404005,148404005,148404005,148404005,148404005,148404005,148404005,148404005,148404005,148404005,148404005,148404005,148404005,148404005,148404005,148404005,148404005,148404005,148404005,148404005,148404005,148404005,148404005,148404005,148404005,148404005,148404005,148404005,148404005,148404005,148404005,148404005,148404005,148404005
28,Weighted Average Shares Outstanding Diluted,148404005,148404005,148404005,148404005,148404005,148404005,148404005,148404005,148404005,148404005,148404005,148404005,148404005,148404005,148404005,148404005,148404005,148404005,148404005,148404005,148404005,148404005,148404005,148404005,148404005,148404005,148404005,148404005,148404005,148404005,148404005,148404005,148404005,148404005,148404005,148404005
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/803649/000080364920000038/0000803649-20-000038-index.htm,https://www.sec.gov/Archives/edgar/data/803649/000080364921000023/0000803649-21-000023-index.htm,https://www.sec.gov/Archives/edgar/data/803649/000080364922000026/0000803649-22-000026-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12384000,11526000,21961000,19445000,17783000,19879000,15518000,18204000,194040000,192763000,102219000,222449000,379058000,1802729000,2094674000,2351693000,2400803000,2795642000,2987225000,2800998000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12384000,11526000,21961000,19445000,17783000,19879000,15518000,18204000,194040000,192763000,102219000,222449000,379058000,1802729000,2094674000,2351693000,2400803000,2795642000,2987225000,2800998000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,63105000,83973000,113504000,145385000,172566000,197967000,196839000,194358000,191237000,217592000,253394000,223769000,248101000,174676000,152031000,93436000,51089000,19554000,14702000,- -
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,135961000,5082000,205215000,188458000,595632000,17715000,32245000,6532000,106585000,3298000,5003000,- -,- -
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,348523000,390359000,615570000,544071000,1041850000,644874000,2009650000,2253237000,2551714000,2455190000,2820199000,3001927000,- -
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2806513000,3597934000,4379721000,4848680000,5261692000,5498750000,5689456000,5439260000,5506997000,6310062000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,427756000,255812000,198287000,88760000,48281000,23847000,275000,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,427756000,255812000,198287000,88760000,48281000,23847000,275000,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,264087000,260208000,207804000,194297000,- -,- -,- -,158822000,171464000,177477000,184711000,517991000,- -,- -,- -,276928000,249602000,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,174716000,519700000,343917000,7033096000,4830781000,4918478000,3145962000,2224557000,1384456000,825705000,499178000,275744000,- -
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5772798000,6198161000,6831456000,7645563000,5604584000,5116765000,3234722000,2272838000,1685231000,1075582000,499178000,275744000,- -
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3206340000,4013244000,4813330000,5327167000,5575949000,5859332000,6016099000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3081383000
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3206340000,4013244000,4813330000,5327167000,5575949000,5859332000,6016099000,6121321000,6588520000,7447026000,8189634000,6646434000,5761639000,5244372000,4526075000,4236945000,3530772000,3319377000,3277671000,3081383000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,49623000,89441000,- -,111917000,123823000,158272000,194184000,165855000,162204000,123587000,95395000,69220000,62368000,37153000,20588000,- -
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,412000000,175000000,256000000,- -,- -,648693000,47348000,65940000,70179000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,36724000,26819000,28015000,13228000,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,27988000,37653000,- -,- -,- -,- -,- -,- -,- -,- -,2928000,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,80326000,31521000,35074000,15297000,38119000,- -,- -,- -,1840000,- -,7534000,10991000,- -
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,412000000,175000000,256000000,- -,- -,648693000,239591000,249272000,301178000,209481000,203974000,162204000,123587000,95395000,71060000,62368000,44687000,34507000,- -
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1222286000,1910027000,2371449000,2531032000,2409939000,2784559000,2251298000,2992650000,3206066000,3577331000,4349821000,3005410000,2207665000,1710324000,1141667000,848578000,274955000,25691000,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,35700000,27553000,31359000,27340000,18460000,11076000,9451000,3127000,2928000,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14000,1492000,- -,93164000,45911000,40828000,14634000,10106000,5736000,- -,- -,- -,- -
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1222286000,1910027000,2371449000,2531032000,2409939000,2784559000,2251298000,2992664000,3207558000,3577331000,4478685000,3078874000,2279852000,1752298000,1170233000,865390000,284406000,28818000,- -,- -
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2502353000,3911620000,4877585000,5212713000,5035120000,5741008000,4697592000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,26113000
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,39843000,38987000,41833000,41607000,47839000,47348000,65940000,70179000,69304000,33935000,26784000,4296000,1946000,1001000,- -,- -,- -,- -
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1280067000,2001593000,2506136000,2681681000,2625181000,2956449000,3094987000,3232255000,3456830000,3878509000,4688166000,3282848000,2442056000,1875885000,1265628000,936450000,346774000,73505000,34507000,26113000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,482935000,482935000,482935000,482935000,803134000,682364000,682364000,682364000,513285000,778676000,633661000,633661000,384657000,384654000,119263000,119263000,119263000,119263000,119263000,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1288000,1428000,1773000,2099000,2101000,2254000,2277000,2239000,721000,837000,838000,1184000,1296000,1263000,1240000,1242000,1216000,1219000,1215000,- -
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-503703000,-543915000,-572460000,-618707000,-628928000,-705190000,-701515000,-722250000,2372337000,2482321000,-1115036000,-1446402000,-1500287000,-1428354000,-1223025000,-1201357000,-1243310000,-1189736000,-1178432000,- -
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-363015000,-454411000,-549208000,-668460000,-808216000,-862958000,2547000,-3103502000,-3307396000,565000,-38331000,-53216000,-3687000,-208000,-95000,-342000,- -,- -,- -
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1945753000,2434218000,2849357000,3328367000,3442921000,3731671000,3800944000,2924166000,3348849000,3614079000,3585400000,4213474000,4487133000,4414611000,4363177000,4380313000,4305974000,4313831000,4294632000,3055270000
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1926273000,2011651000,2307194000,2645486000,2950768000,2902883000,2921112000,2889066000,3131690000,3568517000,3105428000,3363586000,3319583000,3368487000,3260447000,3299366000,3182801000,3244577000,3236678000,3055270000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3206340000,4013244000,4813330000,5327167000,5575949000,5859332000,6016099000,6121321000,6588520000,7447026000,7793594000,6646434000,5761639000,5244372000,4526075000,4235816000,3529575000,3318082000,3271185000,3081383000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,396040000,- -,- -,- -,- -,1129000,1197000,1295000,6486000,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3206340000,4013244000,4813330000,5327167000,5575949000,5859332000,6016099000,6121321000,6588520000,7447026000,8189634000,6646434000,5761639000,5244372000,4526075000,4236945000,3530772000,3319377000,3277671000,3081383000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/803649/000080364920000038/0000803649-20-000038-index.htm,https://www.sec.gov/Archives/edgar/data/803649/000080364921000023/0000803649-21-000023-index.htm,https://www.sec.gov/Archives/edgar/data/803649/000080364922000026/0000803649-22-000026-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,7900000,14300000,22100000,27200000,33400000,49919000,64236000,73254000,114000000,144516000,113862000,142272000,82804000,106763000,114446000,162829000,164984000,250580000,124255000,244645000,164674000,135409000,109984000,-95421000,-177060000,24012000,99857000,232894000,29656000,272813000,492680000,451294000,-16189000
74,Depreciation and Amortization,- -,- -,- -,4600000,5100000,7300000,9600000,9100000,14724000,22849000,22106000,39330000,60764000,73382000,63813000,65187000,68750000,85224000,102116000,120822000,140250000,197317000,155026000,170547000,196943000,183188000,268254000,256477000,238147000,201474000,138337000,92152000,48700000,28685000,20096000,15235000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,15425000,18530000,21414000,19697000,14426000,13215000,15442000
77,Change in Working Capital,- -,- -,- -,2200000,- -,- -,- -,- -,-8753000,14843000,-5139000,-9563000,25974000,-15154000,31390000,-33598000,- -,- -,- -,- -,- -,- -,- -,108932000,32155000,173305000,20198000,503286000,-355206000,1403393000,271779000,322812000,-87832000,382690000,191908000,-2967420000
78,Accounts Receivable,- -,- -,- -,- -,- -,-100000,700000,-6200000,-3300000,-1600000,-7800000,-5300000,-37100000,-8700000,-25222000,-17530000,-14815000,-30740000,-65929000,-66063000,-39598000,-44628000,- -,- -,- -,- -,-38801000,-57039000,-54773000,-47472000,-23921000,-23708000,-19886000,-13099000,-2119000,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,1100000,2400000,-2700000,1200000,1600000,12600000,-100000,8500000,46800000,23400000,13300000,485000,-16297000,11271000,17249000,19696000,53000,18142000,-3860000,- -,- -,- -,- -,6034000,-14333000,10389000,-4643000,4663000,- -,- -,- -,- -,-410000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,-8753000,6090000,951000,-8612000,17362000,2208000,33598000,- -,- -,- -,- -,- -,- -,- -,- -,108932000,141087000,314392000,334590000,837876000,482670000,1886063000,2157842000,2480654000,2392822000,2775512000,2967420000,- -
82,Other Non-Cash Items,- -,- -,- -,-2000000,7400000,-9800000,5000000,4100000,22444000,-20627000,8097000,41933000,-36910000,51530000,-82977000,30798000,3330000,534000,-55741000,-59852000,-104451000,-49998000,-101229000,-147149000,-112373000,-203145000,83752000,-348052000,293439000,-1538605000,-498524000,-366038000,-163842000,-819536000,-643185000,2969041000
83,Cash Provided by Operating Activities,- -,- -,- -,12700000,26800000,19600000,41800000,46600000,78334000,81301000,98318000,185700000,194344000,223620000,154498000,145191000,178843000,200204000,209204000,225954000,286379000,271574000,298442000,297004000,252134000,263332000,276783000,234651000,200392000,181544000,163016000,99996000,89536000,98945000,33328000,16109000
84,CAPEX,- -,- -,- -,-25300000,-27200000,-15400000,- -,- -,-324554000,-267470000,-225428000,-548465000,-761414000,-493809000,-21506000,-56976000,-500581000,-832826000,-765091000,-576082000,-527661000,-423488000,-416461000,-665410000,-972913000,-868399000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-337400000,- -,- -,- -,-52000,- -,- -,- -,- -,- -,- -,- -,-5133000,-76000,- -,646000,227458000,710492000,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,-19200000,-44500000,- -,- -,- -,-9372000,-24375000,-17191000,-520000,-226000000,- -,-21302000,- -,- -,- -,- -,- -,- -,- -,- -,-6760000,-76000,-38635000,- -,- -,- -,- -,- -,-276238000,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,75598000,3522000,- -,- -,- -,73275000,16976000,308333000,- -,- -,- -,8000000,- -,- -,- -,- -,27068000,- -,- -,23933000,250000000,- -,- -
88,Other Investing Activites,- -,- -,- -,300000,6200000,300000,-71900000,-175400000,158483000,102502000,7291000,71143000,40025000,204450000,154600000,35531000,7841000,6658000,9115000,28372000,12892000,4410000,333614000,212048000,611530000,283102000,-748832000,-39560000,93859000,1621825000,1052119000,741824000,918191000,745735000,643252000,-6803000
89,Cash Used for Investing Activites,- -,- -,- -,-44200000,-65500000,-15100000,-71900000,-175400000,-175443000,-189343000,-235328000,-815242000,-947389000,-213761000,115314000,-21497000,-492740000,-826168000,-682701000,-530734000,-206436000,-419078000,-82847000,-465255000,-353535000,-623932000,-748186000,187898000,804351000,1648893000,1052119000,465586000,942124000,995735000,643252000,-6803000
90,Debt Repayment,- -,- -,- -,-72900000,-15000000,-36500000,- -,-164200000,-208000000,-166000000,-247070000,-501261000,-1170050000,-433206000,-735352000,-207205000,-924200000,-564989000,-1302580000,-921555000,-1286688000,-848979000,-384159000,-720310000,-1618101000,-975030000,-1312982000,-1065432000,-785316000,-259672000,-560187000,-295053000,-581460000,-255842000,-25441000,- -
91,Common Stock Issued,- -,- -,- -,52200000,-100000,74200000,- -,244800000,182400000,97944000,6990000,483153000,580306000,- -,- -,193086000,289849000,124618000,323639000,383974000,513285000,153074000,- -,- -,430778000,264056000,363657000,626809000,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-219318000,-289849000,- -,- -,- -,-713285000,-125000000,- -,-14486000,-175000000,- -,-150000000,- -,- -,-87983000,-344987000,-3188000,-93976000,-5487000,-26897000,-181488000
93,Dividends Paid,- -,- -,- -,-11300000,-18600000,-23900000,-33500000,-44900000,-44869000,-80473000,-93377000,-132080000,-176952000,-192832000,-137206000,-118731000,-127396000,-154658000,-191374000,-211231000,-216690000,-244628000,-240970000,-158546000,-175893000,-194479000,-199249000,-154306000,-61692000,-27924000,-17956000,-7988000,-312600000,-436637000,-435783000,- -
94,Other Financing Activites,- -,- -,- -,72900000,70500000,14000000,35500000,92900000,299860000,217334000,473680000,780232000,1513029000,613742000,682221000,186348000,1327322000,1220135000,1654247000,1051076000,1621773000,1216216000,405173000,1064279000,1813077000,1265260000,1678997000,291912000,- -,-7143000,-52000,31000,-113000,-170000,-1879000,-14045000
