,https://roic.ai/company/GME,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,11338000,- -,- -,2177000,1800000,900000,900000,900000,700000,400000,800000,1500000,5700000,11300000,1900000,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,84662000,- -,- -,45354000,37000000,20700000,4200000,5600000,10700000,23400000,53800000,56800000,56800000,38500000,34000000,26900000
14,Depreciation and Amortization,- -,6401000,13623000,30297000,22795000,29260000,37451000,68204000,116294000,138108000,150098000,164126000,176800000,188600000,178900000,169200000,156500000,158200000,166700000,151900000,126900000,96200000,80700000,77200000
15,EBITDA,- -,-2029000,7498000,44932000,110496000,134448000,136362000,219876000,455302000,579173000,784049000,799584000,835800000,759800000,138300000,743600000,775500000,806800000,725200000,289000000,-447600000,-298600000,-155900000,-291300000
16,EBITDA ratio,- -,-0.0037,0.0099,0.0401,0.0817,0.0852,0.0740,0.0711,0.0856,0.0816,0.0890,0.0881,0.0882,0.0796,0.0156,0.0823,0.0834,0.0862,0.0910,0.0338,-0.0540,-0.0462,-0.0306,-0.0485
17,Operating Income,- -,-1541000,5614000,34087000,87071000,104384000,99147000,192732000,333679000,501421000,675119000,637033000,662600000,569900000,-41600000,573500000,618300000,648200000,557700000,135600000,-702000000,-399600000,-237800000,-368500000
18,Operating Income ratio,- -,-0.0028,0.0074,0.0304,0.0644,0.0661,0.0538,0.0623,0.0627,0.0707,0.0767,0.0702,0.0699,0.0597,-0.0047,0.0634,0.0665,0.0692,0.0700,0.0159,-0.0847,-0.0618,-0.0467,-0.0613
19,Total Other Income Expenses (Gains),- -,-4095000,-23411000,-19452000,630000,804000,-236000,-32832000,-79379000,-60321000,-41168000,-48533000,-41200000,-20800000,-3300000,-4700000,-10000000,-23000000,-129000000,248300000,-51100000,-27200000,-32100000,-26900000
20,Income Before Tax,- -,-5636000,-17797000,14635000,87701000,105188000,98911000,159900000,254300000,441100000,633951000,588500000,621400000,549100000,-44900000,568800000,608300000,625200000,428700000,383900000,-753100000,-426800000,-269900000,-395400000
21,Income Before Tax Ratio,- -,-0.0102,-0.0235,0.0131,0.0648,0.0666,0.0537,0.0517,0.0478,0.0622,0.0720,0.0648,0.0656,0.0575,-0.0051,0.0629,0.0654,0.0668,0.0538,0.0449,-0.0909,-0.0660,-0.0530,-0.0658
22,Income Tax expense (Gain),- -,-4968000,5836000,7675000,35297000,41721000,37985000,50872000,96046000,152765000,235669000,212804000,214000000,210600000,224900000,214600000,215200000,222400000,151500000,45600000,41700000,37600000,-55300000,-14100000
23,Net Income,- -,-3462000,-11961000,6960000,52404000,63467000,60926000,100800000,158300000,288300000,398282000,377300000,408000000,339900000,-269700000,354200000,393100000,402800000,353200000,34700000,-673000000,-470900000,-215300000,-381300000
24,Net Income ratio,- -,-0.0063,-0.0158,0.0062,0.0387,0.0402,0.0331,0.0326,0.0298,0.0406,0.0452,0.0416,0.0431,0.0356,-0.0303,0.0392,0.0423,0.0430,0.0443,0.0041,-0.0812,-0.0728,-0.0423,-0.0634
25,EPS,- -,0.10,-0.17,0.10,0.47,0.56,0.56,0.87,1.06,1.82,2.44,2.29,2.69,2.43,-2.13,3.02,3.50,3.80,3.42,0.34,-6.59,-5.38,-3.31,-5.25
26,EPS Diluted,- -,0.10,-0.17,0.09,0.43,0.53,0.56,0.81,1.00,1.75,2.38,2.25,2.65,2.41,-2.13,2.99,3.47,3.78,3.40,0.34,-6.59,-5.38,-3.31,-5.25
27,Weighted Average Shares Outstanding,- -,72018000,72018000,72018000,112578000,112660000,109324000,115840000,149924000,158226000,163190000,164525000,151600000,139900000,126400000,117200000,112200000,106000000,103400000,101400000,102100000,87500000,65000000,72600000
28,Weighted Average Shares Outstanding Diluted,- -,72018000,72490909,78794000,120838000,119528000,115592000,124972000,158284000,164844000,167671000,167875000,154000000,141000000,126400000,118400000,113200000,106700000,103800000,101500000,102100000,87500000,65000000,72600000
29,SEC Link,undefined,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1326380/000095013406006576/d34677e10vk.htm,https://www.sec.gov/Archives/edgar/data/1326380/000095013407007555/0000950134-07-007555-index.html,https://www.sec.gov/Archives/edgar/data/1326380/000095013408005892/0000950134-08-005892-index.html,https://www.sec.gov/Archives/edgar/data/1326380/000095013409006730/0000950134-09-006730-index.html,https://www.sec.gov/Archives/edgar/data/1326380/000095012310030164/0000950123-10-030164-index.html,https://www.sec.gov/Archives/edgar/data/1326380/000095012311030842/d80233e10vk.htm,https://www.sec.gov/Archives/edgar/data/1326380/000119312512134615/0001193125-12-134615-index.html,https://www.sec.gov/Archives/edgar/data/1326380/000119312513140443/0001193125-13-140443-index.html,https://www.sec.gov/Archives/edgar/data/1326380/000144530514001259/0001445305-14-001259-index.html,https://www.sec.gov/Archives/edgar/data/1326380/000132638015000078/form10k-fy14.htm,https://www.sec.gov/Archives/edgar/data/1326380/000132638016000320/0001326380-16-000320-index.html,https://www.sec.gov/Archives/edgar/data/1326380/000132638017000046/0001326380-17-000046-index.html,https://www.sec.gov/Archives/edgar/data/1326380/000132638018000033/0001326380-18-000033-index.html,https://www.sec.gov/Archives/edgar/data/1326380/000132638019000052/0001326380-19-000052-index.html,https://www.sec.gov/Archives/edgar/data/1326380/000132638020000022/0001326380-20-000022-index.html,https://www.sec.gov/Archives/edgar/data/1326380/000132638021000032/0001326380-21-000032-index.htm,https://www.sec.gov/Archives/edgar/data/1326380/000132638022000021/0001326380-22-000021-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,80750000,232030000,204905000,170992000,401600000,652400000,857400000,578141000,905400000,710800000,655000000,635800000,536200000,610100000,450400000,669400000,854200000,1624400000,499400000,508500000,1271400000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,80750000,232030000,204905000,170992000,401600000,652400000,857400000,578141000,905400000,710800000,655000000,635800000,536200000,610100000,450400000,669400000,854200000,1624400000,499400000,508500000,1271400000
34,Net Receivables,- -,- -,- -,5930000,6893000,9545000,9812000,38700000,34300000,56000000,65981000,64000000,65500000,64400000,73600000,84400000,113500000,176500000,220900000,138600000,134200000,141900000,105300000,141100000
35,Inventory,- -,- -,- -,138351000,161369000,223526000,216296000,603200000,675400000,801000000,1075792000,1053600000,1257500000,1137500000,1171300000,1198900000,1144800000,1163000000,1121500000,1250300000,1250500000,859700000,602500000,915000000
36,Other Current Assets,- -,- -,- -,11673000,16161000,34776000,26888000,77800000,78200000,80300000,98127000,104300000,121000000,140400000,130200000,130100000,194100000,147600000,128900000,775300000,118600000,132700000,334900000,271300000
37,Total Current Assets,- -,- -,- -,236704000,416453000,472752000,423988000,1121300000,1440300000,1794700000,1818041000,2127300000,2154800000,1997300000,2010900000,1949600000,2062500000,1937500000,2140700000,3018400000,3127700000,1633700000,1551200000,2598800000
38,PP&E,- -,- -,- -,51623000,68394000,104031000,168399000,432100000,456500000,511700000,549254000,584200000,613800000,573300000,524800000,476200000,454200000,484500000,471000000,351000000,321300000,1042900000,863300000,750200000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,1392400000,1403900000,1402400000,1862107000,1946500000,1996300000,2019000000,1383100000,1414700000,1390400000,1476700000,1725200000,1350500000,363900000,- -,- -,- -
40,Intangible Assets,- -,- -,- -,317957000,317957000,320826000,320888000,- -,- -,- -,247790000,259900000,254600000,209100000,153400000,194300000,237800000,330400000,507200000,92500000,33500000,22800000,18500000,12100000
41,Intangible Assets,- -,- -,- -,317957000,317957000,320826000,320888000,1392400000,1403900000,1402400000,2109897000,2206400000,2250900000,2228100000,1536500000,1609000000,1628200000,1807100000,2232400000,1443000000,397400000,22800000,18500000,12100000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,12900000,- -,- -,- -,25500000,74900000,67100000,31500000,37400000,- -,29600000,23000000,5000000,147300000,83000000,- -,16300000
44,Other Non-Current Assets,- -,- -,- -,559000,1105000,1315000,1708000,56400000,48900000,67100000,35398000,11900000,-30600000,-18400000,29900000,19200000,101400000,71600000,108800000,224200000,50600000,37300000,39600000,121900000
45,Total Non-Current Assets,- -,- -,- -,370139000,387456000,426172000,490995000,1893800000,1909300000,1981200000,2694549000,2828000000,2909000000,2850100000,2122700000,2141800000,2183800000,2392800000,2835200000,2023200000,916600000,1186000000,921400000,900500000
46,Other Assets,- -,432335000,511504000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,432335000,511504000,606843000,803909000,898924000,914983000,3015100000,3349600000,3775900000,4512590000,4955300000,5063800000,4847400000,4133600000,4091400000,4246300000,4330300000,4975900000,5041600000,4044300000,2819700000,2472600000,3499300000
48,Accounts Payable,- -,- -,- -,148597000,160378000,204011000,206739000,543300000,717900000,844400000,1047963000,961700000,1028100000,804300000,870900000,783900000,815600000,631900000,616600000,892300000,1051900000,380800000,341800000,471000000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,12173000,12527000,12176000,- -,- -,- -,- -,- -,- -,2400000,5100000,400000,- -,- -,349200000,239400000,374100000,214800000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,61900000,62700000,79800000,163900000,131500000,65300000,174000000,106000000,100900000,72700000,34800000,47100000,30700000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,21229000,28000000,84600000,93500000,118100000,467800000,112800000,131500000,139700000,392900000,349900000,371600000,389800000
52,Other Current Liabilities,- -,- -,- -,57000000,86393000,79839000,94983000,331873000,357024000,416200000,514748000,672771000,691700000,745000000,750900000,821600000,351200000,1049300000,1013400000,898800000,387100000,267600000,255200000,279100000
53,Total Current Liabilities,- -,- -,- -,205597000,246771000,283850000,313895000,887700000,1087100000,1260600000,1562711000,1655700000,1747800000,1633900000,1715300000,1726000000,1639700000,1794400000,1761500000,1930800000,2181100000,1237700000,1342700000,1354700000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,24347000,963500000,843700000,574500000,545712000,447300000,249000000,- -,- -,1600000,350600000,345400000,815000000,817900000,471600000,949100000,672700000,434200000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,3065000,5591000,17731000,20257000,- -,- -,- -,- -,- -,- -,67100000,31500000,37400000,95900000,29600000,23000000,5000000,100000,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,402166000,2872000,3310000,13473000,49200000,42900000,78300000,104486000,129200000,169700000,104300000,100500000,75000000,92400000,79900000,122300000,73400000,55300000,21400000,20500000,107900000
58,Total Non-Current Liabilities,- -,- -,- -,405231000,8463000,21041000,58077000,1012700000,886600000,652800000,650198000,576500000,418700000,171400000,132000000,114000000,538900000,454900000,960300000,896300000,527000000,970500000,693200000,542100000
59,Other Liabilities,- -,456850000,532114000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,768700000,684100000,604400000
61,Total Liabilities,- -,456850000,532114000,610828000,255234000,304891000,371972000,1900400000,1973700000,1913400000,2212909000,2232200000,2166500000,1805300000,1847300000,1840000000,2178600000,2249300000,2721800000,2827100000,2708100000,2208200000,2035900000,1896800000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,36000,57000,59000,54000,100000,200000,200000,164000,200000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000
64,Retained Earnings,- -,- -,- -,2216000,54620000,118087000,91621000,192400000,350600000,622200000,1020490000,1397800000,1805800000,2145700000,1773500000,1995900000,2093000000,2169700000,2301300000,2180100000,1362700000,690200000,474900000,93600000
65,Other Comprehensive Income/Loss,- -,- -,- -,-33854000,-56259000,296000,567000,886000,3227000,31603000,-28426000,114704000,162500000,169700000,164400000,82500000,-25400000,-88800000,-47300000,12200000,-54300000,-78800000,-49300000,-68700000
66,Other Total Stockholders Equity,- -,- -,- -,27617000,550257000,475591000,450769000,921327000,1021851000,1208443000,1307453000,1210453000,928900000,726600000,348300000,172900000,- -,- -,- -,22100000,27700000,- -,11000000,- -
67,Total Stockholders Equity,- -,-24515000,-20610000,-3985000,548675000,594033000,543011000,1114713000,1375878000,1862446000,2299681000,2723157000,2897300000,3042100000,2286300000,2251400000,2067700000,2081000000,2254100000,2214500000,1336200000,611500000,436700000,1602500000
68,Total Liabilities And Stockholders Equity,- -,432335000,511504000,606843000,803909000,898924000,914983000,3015113000,3349578000,3775846000,4512590000,4955357000,5063800000,4847400000,4133600000,4091400000,4246300000,4330300000,4975900000,5041600000,4044300000,2819700000,2472600000,3499300000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,-13000,22000,54000,- -,-57000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,432335000,511504000,606843000,803909000,898924000,914983000,3015100000,3349600000,3775900000,4512590000,4955300000,5063800000,4847400000,4133600000,4091400000,4246300000,4330300000,4975900000,5041600000,4044300000,2819700000,2472600000,3499300000
71,SEC Link,undefined,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1326380/000095013406006576/d34677e10vk.htm,https://www.sec.gov/Archives/edgar/data/1326380/000095013407007555/0000950134-07-007555-index.html,https://www.sec.gov/Archives/edgar/data/1326380/000095013408005892/0000950134-08-005892-index.html,https://www.sec.gov/Archives/edgar/data/1326380/000095013409006730/0000950134-09-006730-index.html,https://www.sec.gov/Archives/edgar/data/1326380/000095012310030164/0000950123-10-030164-index.html,https://www.sec.gov/Archives/edgar/data/1326380/000095012311030842/d80233e10vk.htm,https://www.sec.gov/Archives/edgar/data/1326380/000119312512134615/0001193125-12-134615-index.html,https://www.sec.gov/Archives/edgar/data/1326380/000119312513140443/0001193125-13-140443-index.html,https://www.sec.gov/Archives/edgar/data/1326380/000144530514001259/0001445305-14-001259-index.html,https://www.sec.gov/Archives/edgar/data/1326380/000132638015000078/form10k-fy14.htm,https://www.sec.gov/Archives/edgar/data/1326380/000132638016000320/0001326380-16-000320-index.html,https://www.sec.gov/Archives/edgar/data/1326380/000132638017000046/0001326380-17-000046-index.html,https://www.sec.gov/Archives/edgar/data/1326380/000132638018000033/0001326380-18-000033-index.html,https://www.sec.gov/Archives/edgar/data/1326380/000132638019000052/0001326380-19-000052-index.html,https://www.sec.gov/Archives/edgar/data/1326380/000132638020000022/0001326380-20-000022-index.html,https://www.sec.gov/Archives/edgar/data/1326380/000132638021000032/0001326380-21-000032-index.htm,https://www.sec.gov/Archives/edgar/data/1326380/000132638022000021/0001326380-22-000021-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,6960000,52404000,63467000,60926000,100800000,158300000,288300000,398282000,377300000,408000000,339900000,-269700000,354200000,393100000,402800000,353200000,34700000,-673000000,-470900000,-215300000,-381300000
74,Depreciation and Amortization,- -,- -,- -,30297000,22795000,29260000,37451000,68204000,116294000,138108000,150098000,164126000,176800000,188600000,178900000,169200000,156500000,158200000,166700000,151900000,126900000,96200000,80700000,77200000
75,Deferred Income Tax,- -,- -,- -,319000,-90000,5713000,4752000,-8216000,-3080000,-13151000,-25535000,-1210000,38200000,-25200000,-58200000,-2700000,9200000,-1500000,-37200000,-107900000,-4100000,61400000,80300000,-16300000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,37811000,29600000,18800000,19600000,19400000,21500000,29900000,17800000,25600000,10700000,8900000,7900000,30500000
77,Change in Working Capital,- -,- -,- -,39161000,19220000,-78809000,123507000,119600000,180900000,-278770000,216270000,-64600000,-43600000,-67800000,-72000000,199200000,-279700000,236100000,708400000,-141000000,-550600000,-187500000,1035500000,-171200000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,-29498000,-23018000,-59811000,-10578000,-91363000,-118417000,-177519000,-209442000,29602000,-227200000,64300000,-63800000,-86900000,-24800000,-49200000,14700000,-256300000,-44700000,361100000,282400000,-329600000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,169682000,188902000,110093000,233600000,353200000,534100000,255330000,471600000,407000000,363400000,295600000,223600000,422800000,143100000,379200000,1087600000,946600000,396000000,208500000,1244000000,-22600000
82,Other Non-Cash Items,- -,- -,- -,1382000,-1459000,50169000,-80649000,11030000,-28910000,368238000,-189880000,130746000,-17800000,170400000,833800000,23400000,179900000,-168700000,-671800000,471600000,1415200000,77400000,-865400000,26800000
83,Cash Provided by Operating Activities,- -,- -,- -,78119000,92870000,69800000,145987000,291418000,423504000,502725000,549235000,644173000,591200000,624700000,632400000,762700000,480500000,656800000,537100000,434900000,325100000,-414500000,123700000,-434300000
84,CAPEX,- -,- -,- -,-20462000,-39529000,-63007000,-98305000,-110696000,-133930000,-175569000,-183192000,-163759000,-197600000,-165100000,-139600000,-125600000,-159600000,-173200000,-142700000,-113400000,-93700000,-78500000,-60000000,-62000000
85,Acquisitions Net,- -,- -,- -,- -,- -,-3027000,-62000,-886116000,-11303000,1061000,-630706000,-8357000,-38100000,-30100000,-1500000,-77400000,-77300000,-267500000,-441200000,46500000,727900000,5200000,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,-23000,-788000,-522000,-825000,- -,19297000,- -,- -,-15130000,-4400000,-6400000,-11600000,-4500000,1000000,-3900000,5900000,3200000,1300000,12400000,96900000,-64800000
89,Cash Used for Investing Activites,- -,- -,- -,-20485000,-40317000,-66556000,-99192000,-996812000,-125936000,-174508000,-813898000,-187246000,-240100000,-201600000,-152700000,-207500000,-235900000,-444600000,-578000000,-63700000,635500000,-60900000,36900000,-64800000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-215000000,-320000000,-285000000,-81000000,-161800000,-626000000,-465200000,-545400000,-394800000,-166200000,-404500000,-255300000,-332400000
91,Common Stock Issued,- -,- -,- -,- -,348350000,6899000,9474000,20800000,33861000,64883000,28950000,- -,- -,- -,- -,- -,700000,- -,- -,- -,- -,- -,3100000,1672800000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,-35006000,-126775000,- -,- -,- -,- -,-58380000,-381200000,-262100000,-409400000,-258300000,-331100000,-194300000,-71500000,-25500000,-5100000,-198700000,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-102000000,-130900000,-148800000,-154100000,-155500000,-155200000,-157400000,-40500000,-300000,- -
94,Other Financing Activites,- -,- -,- -,14475000,-249623000,-2296000,36520000,914877000,-80516000,-196721000,-6300000,118963000,145600000,54500000,93900000,200400000,974000000,467400000,1011100000,373000000,154000000,-1000000,197100000,-139800000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,14475000,98727000,-30403000,-80781000,935677000,-46655000,-131838000,22650000,-154417000,-555600000,-492600000,-498500000,-350600000,-131200000,-346200000,238700000,-202500000,-174700000,-644700000,-55400000,1200600000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,34000,73000,318000,-103000,8632000,-37260000,24767000,9900000,13700000,-400000,-42800000,-39500000,-25700000,21200000,26300000,-24700000,-6900000,16300000,-16600000
97,Net Change In Cash,- -,- -,- -,72109000,151280000,-27125000,-33913000,230601000,250810000,205011000,-279273000,327277000,-194600000,-55800000,-19200000,161800000,73900000,-159700000,219000000,195000000,771400000,-1127000000,121500000,684900000
98,Cash at the End of Period,- -,- -,- -,80750000,232030000,204905000,170992000,401593000,652403000,857414000,578141000,905418000,710800000,655000000,635800000,536200000,610100000,450400000,669400000,864400000,1640500000,513500000,635000000,1319900000
99,Cash at the Beginning of Period,- -,- -,- -,8641000,80750000,232030000,204905000,170992000,401593000,652403000,857414000,578141000,905400000,710800000,655000000,374400000,536200000,610100000,450400000,669400000,869100000,1640500000,513500000,635000000
100,Free Cash Flow,- -,- -,- -,57657000,53341000,6793000,47682000,180722000,289574000,327156000,366043000,480414000,393600000,459600000,492800000,637100000,320900000,483600000,394400000,321500000,231400000,-493000000,63700000,-496300000
101,SEC Link,undefined,undefined,undefined,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1326380/000095013406006576/d34677e10vk.htm,https://www.sec.gov/Archives/edgar/data/1326380/000095013407007555/0000950134-07-007555-index.html,https://www.sec.gov/Archives/edgar/data/1326380/000095013408005892/0000950134-08-005892-index.html,https://www.sec.gov/Archives/edgar/data/1326380/000095013409006730/0000950134-09-006730-index.html,https://www.sec.gov/Archives/edgar/data/1326380/000095012310030164/0000950123-10-030164-index.html,https://www.sec.gov/Archives/edgar/data/1326380/000095012311030842/d80233e10vk.htm,https://www.sec.gov/Archives/edgar/data/1326380/000119312512134615/0001193125-12-134615-index.html,https://www.sec.gov/Archives/edgar/data/1326380/000119312513140443/0001193125-13-140443-index.html,https://www.sec.gov/Archives/edgar/data/1326380/000144530514001259/0001445305-14-001259-index.html,https://www.sec.gov/Archives/edgar/data/1326380/000132638015000078/form10k-fy14.htm,https://www.sec.gov/Archives/edgar/data/1326380/000132638016000320/0001326380-16-000320-index.html,https://www.sec.gov/Archives/edgar/data/1326380/000132638017000046/0001326380-17-000046-index.html,https://www.sec.gov/Archives/edgar/data/1326380/000132638018000033/0001326380-18-000033-index.html,https://www.sec.gov/Archives/edgar/data/1326380/000132638019000052/0001326380-19-000052-index.html,https://www.sec.gov/Archives/edgar/data/1326380/000132638020000022/0001326380-20-000022-index.html,https://www.sec.gov/Archives/edgar/data/1326380/000132638021000032/0001326380-21-000032-index.htm,https://www.sec.gov/Archives/edgar/data/1326380/000132638022000021/0001326380-22-000021-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,
