,https://roic.ai/company/CAPC,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
20,Income Before Tax,- -,- -,- -,- -,- -,-207828,-270191,- -,- -,- -,- -,- -,- -,575604,-607183,727134,-437334,706901,3088088,3108870,-1300033,-906602,-2383816,-1948574
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,-0.3378,-0.2545,- -,- -,- -,- -,- -,- -,0.0562,-0.0726,0.0498,-0.0321,0.0444,0.1008,0.0846,-0.1013,-0.0731,-0.8605,-2.8411
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,-7300,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7500,267000,1029694,-288975,-14933,-611939,15055
23,Net Income,-21579,-412144,-4260360,-4505149,-2205670,-200528,-270191,-589171,-79121,-1213658,-1338736,-1099068,-738878,575604,-607183,727134,-437334,699401,2821088,2079176,-1011058,-891669,-2383816,-1963629
24,Net Income ratio,-Infinity,-0.5717,-0.4508,-Infinity,-Infinity,-0.3259,-0.2545,-0.6463,-0.0511,-0.4293,-0.2023,-0.1784,-0.1397,0.0562,-0.0726,0.0498,-0.0321,0.0439,0.0921,0.0566,-0.0788,-0.0719,-0.8605,-2.8630
25,EPS,-0.01,-0.23,-0.90,-0.90,-0.15,-0.02,-0.01,-0.02,-0.00,-0.03,-0.04,-0.03,-0.02,0.01,-0.01,0.02,-0.01,0.02,0.06,0.04,-0.02,-0.02,-0.05,-0.04
26,EPS Diluted,-0.01,-0.23,-0.90,-0.90,-0.15,-0.00,-0.01,-0.02,-0.00,-0.03,-0.04,-0.03,-0.02,0.01,-0.01,0.01,-0.01,0.01,0.06,0.04,-0.02,-0.02,-0.05,-0.04
27,Weighted Average Shares Outstanding,1786060,1786060,4733757,5035033,12255981,8744858,34241671,35026988,36215991,38617217,37323174,37545388,43255644,43300918,43381878,43833798,43635166,46580855,48132664,47007296,47046364,46863467,46337198,46337198
28,Weighted Average Shares Outstanding Diluted,1786060,1786060,4733757,5035033,12255981,53924269,34241671,35026988,36215991,38617217,37450711,37545388,43255644,53664075,54045036,54230288,43635166,46716400,48342030,47188450,47046364,46863467,46337198,46337198
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/814926/000093980213000056/0000939802-13-000056-index.htm,https://www.sec.gov/Archives/edgar/data/814926/000093980214000087/0000939802-14-000087-index.htm,https://www.sec.gov/Archives/edgar/data/814926/000093980215000016/0000939802-15-000016-index.htm,https://www.sec.gov/Archives/edgar/data/814926/000093980216000098/0000939802-16-000098-index.htm,https://www.sec.gov/Archives/edgar/data/814926/000093980217000024/0000939802-17-000024-index.htm,https://www.sec.gov/Archives/edgar/data/814926/000093980218000024/0000939802-18-000024-index.htm,https://www.sec.gov/Archives/edgar/data/814926/000093980219000011/0000939802-19-000011-index.htm,https://www.sec.gov/Archives/edgar/data/814926/000093980220000010/0000939802-20-000010-index.htm,https://www.sec.gov/Archives/edgar/data/814926/000093980221000025/0000939802-21-000025-index.htm,https://www.sec.gov/Archives/edgar/data/814926/000157570522000234/0001575705-22-000234-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,97907,37812,147873,- -,- -,24841,77503,9090,198084,257802,156371,266867,115239,164610,411259,436592,313856,364714,1646128,3668196,3822359,3131249,1223770,1277492
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,97907,37812,147873,- -,- -,24841,77503,9090,198084,257802,156371,266867,115239,164610,411259,436592,313856,364714,1646128,3668196,3822359,3131249,1223770,1277492
34,Net Receivables,- -,75692,1042248,- -,- -,- -,- -,4000,762625,1351648,2399859,1341883,1256913,1477279,2673555,6927238,977597,5077182,4449179,4367721,284718,233666,- -,1481
35,Inventory,- -,- -,75420,- -,- -,- -,- -,11760,69895,333184,387749,397908,387990,58717,584370,298099,128984,205708,366330,140634,27497,24818,8775,508920
36,Other Current Assets,- -,- -,186277,- -,- -,7300,12061,- -,35731,23331,83846,57076,527562,417743,351003,1082784,372502,566459,539020,239150,243876,182782,1057004,785621
37,Total Current Assets,97907,113504,1451818,- -,- -,32141,89564,24850,1066335,1965965,3027825,2063734,2287704,2118349,4020187,8744713,1792939,6214063,7000657,8415701,4378450,3572515,2289549,2573514
38,PP&E,40899,108558,445743,- -,- -,- -,1791,2833,30344,208604,254848,176405,70276,70438,129472,77999,94041,110885,100717,67364,75720,279851,54852,175579
39,Goodwill,48000,- -,- -,- -,- -,- -,- -,- -,1936020,1936020,1936020,1936020,1936020,1936020,1936020,1936020,1936020,1936020,1936020,1936020,1936020,1936020,1312482,1312482
40,Intangible Assets,- -,333508,844951,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,27280,19664,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,48000,333508,844951,- -,- -,- -,- -,- -,1936020,1936020,1936020,1936020,1936020,1936020,1963300,1955684,1936020,1936020,1936020,1936020,1936020,1936020,1312482,1312482
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,500000,500000,500000,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,45424,55621,182614,250000,274000,1713,1713,1775,242335,88012,118700,59756,18895,13624,- -,- -,12193,12193,539080,13616,102805,46021,- -,11148
45,Total Non-Current Assets,134323,497687,1473308,250000,274000,1713,3504,4608,2208699,2232636,2309568,2172181,2025191,2020082,2092772,2533683,2542254,2559098,2575817,2017000,2114545,2261892,1367334,1499209
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,232230,611191,2925126,250000,274000,33854,93068,29458,3275034,4198601,5337393,4235915,4312895,4138431,6112959,11278396,4335193,8773161,9576474,10432701,6492995,5834407,3656883,4072723
48,Accounts Payable,108418,153071,1780927,692451,693951,705775,20595,35666,416539,601946,- -,- -,- -,526936,1114166,- -,- -,2164283,- -,2132894,221568,273606,825690,- -
49,Short-Term Debt,- -,2610,1400065,3437617,3437617,- -,- -,- -,726759,688305,722547,2475439,2439852,441607,1245159,7457218,2223624,4339568,1321721,- -,- -,51174,63307,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7500,1588,624782,11694,- -,- -,284873
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,110585,52144,464805,1944596,2739588,382110,769196,537685,400000,- -,3009702,306196,259788,- -,602148,1931527,644629,7500,2679798,1225404,360416,361987,- -,608708
53,Total Current Liabilities,219003,207825,3645797,6074664,6871156,1087885,789791,573351,1543298,1290251,3732249,2781635,2699640,968543,2961473,9388745,2868253,6511351,4001519,3358298,581984,686767,888997,608708
54,Long-Term Debt,- -,- -,1813139,- -,- -,- -,- -,- -,821627,546025,- -,- -,671313,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,425000,251000,12000,- -,259699,273954
57,Other Non-Current Liabilities,2575,201718,1,525000,525000,- -,-1,- -,- -,135874,- -,- -,- -,1531215,2023283,- -,- -,- -,- -,- -,- -,170998,- -,1067873
58,Total Non-Current Liabilities,2575,201718,1813140,525000,525000,- -,-1,- -,821627,681899,- -,- -,671313,1531215,2023283,- -,- -,- -,425000,251000,12000,170998,259699,1341827
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,222172,170997,- -
61,Total Liabilities,221578,409543,5458937,6599664,7396156,1087885,789790,573351,2364925,1972150,3732249,2781635,3370953,2499758,4984756,9388745,2868253,6511351,4426519,3609298,593984,857765,367389,1341827
62,Preferred Stock,- -,- -,- -,- -,309,- -,8,8,119984,7,210883,1000,1000,1000,1000,1000,1000,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,2037,2679,6984,7952,50000,49935,51546,54313,53642,59975,55794,64863,64936,64951,65589,65777,65401,72199,4813,4704,4704,4658,4630,4892
64,Retained Earnings,-201740,-613884,-5370678,-9875827,-12081497,-991449,-841708,-1430879,-1654400,-2868058,-4206794,-5305862,-6044740,-5469136,-6076319,-5349185,-5786519,-5087118,-2266030,-186854,-1197912,-2089581,- -,-6437026
65,Other Comprehensive Income/Loss,-33960,-128213,-548427,- -,- -,-112517,-897,-2132,-1775864,-119154,-219894,-353854,-486974,-546193,-597042,-661210,-223589,-295180,-250465,-266997,-152870,-152265,- -,- -
66,Other Total Stockholders Equity,244315,941066,3378310,3518211,4909032,- -,94329,834797,4166747,5153681,5765155,7048133,7407720,7588051,7734975,7833269,7410647,7571909,7661637,7272550,7245089,7213830,2579931,8554322
67,Total Stockholders Equity,10652,201648,-2533811,-6349664,-7122156,-1054031,-696722,-543893,910109,2226451,1605144,1454280,941942,1638673,1128203,1889651,1466940,2261810,5149955,6823403,5899011,4976642,2584561,2122188
68,Total Liabilities And Stockholders Equity,232230,611191,2925126,250000,274000,33854,93068,29458,3275034,4198601,5337393,4235915,4312895,4138431,6112959,11278396,4335193,8773161,9576474,10432701,6492995,5834407,2951950,3464015
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,704933,608708
70,Total Liabilities & Equity,232230,611191,2925126,250000,274000,33854,93068,29458,3275034,4198601,5337393,4235915,4312895,4138431,6112959,11278396,4335193,8773161,9576474,10432701,6492995,5834407,3656883,4072723
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/814926/000093980213000056/0000939802-13-000056-index.htm,https://www.sec.gov/Archives/edgar/data/814926/000093980214000087/0000939802-14-000087-index.htm,https://www.sec.gov/Archives/edgar/data/814926/000093980215000016/0000939802-15-000016-index.htm,https://www.sec.gov/Archives/edgar/data/814926/000093980216000098/0000939802-16-000098-index.htm,https://www.sec.gov/Archives/edgar/data/814926/000093980217000024/0000939802-17-000024-index.htm,https://www.sec.gov/Archives/edgar/data/814926/000093980218000024/0000939802-18-000024-index.htm,https://www.sec.gov/Archives/edgar/data/814926/000093980219000011/0000939802-19-000011-index.htm,https://www.sec.gov/Archives/edgar/data/814926/000093980220000010/0000939802-20-000010-index.htm,https://www.sec.gov/Archives/edgar/data/814926/000093980221000025/0000939802-21-000025-index.htm,https://www.sec.gov/Archives/edgar/data/814926/000157570522000234/0001575705-22-000234-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-21579,-412144,-4260360,-4505149,-2205670,-200528,-270191,-589171,-79121,-1213658,-1338736,-1099068,-738878,575604,-607183,727134,-437334,699401,2821088,2079176,-1011058,-891669,-2383816,- -
74,Depreciation and Amortization,5403,150426,364585,- -,- -,- -,897,1235,7302,38583,177187,230048,177655,81245,71153,95756,81220,71590,63678,80940,45510,44194,24297,9852000
75,Deferred Income Tax,- -,- -,- -,- -,- -,-7300,7300,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,35000,-239000,-12000,259699,14255000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,523123,227204,220015,80686,36750,20250,43500,95469,67057,95469,86666,40707,28068,15619000
77,Change in Working Capital,-59746,26775,-2099658,-3880685,-796492,5815412,355517,151726,71538,1152677,-1380138,-13477,305965,1561742,-91092,-1702746,-431282,778026,3296426,2058265,-1260937,-910718,-1485196,564254
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1048212,1057976,84972,- -,- -,-4253683,5794295,-4575897,100501,1090898,4132377,51052,-106605,118583000
79,Inventory,- -,- -,257062,- -,- -,- -,- -,-11760,281974,-243720,-54565,-10159,9918,329273,-525653,286271,169115,-76722,-160623,225696,113137,2679,16043,-500145000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1222348,-1518099,- -,- -,- -,- -,- -,- -,- -,55306,-2272070,174147,16671,- -
81,Other Working Capital,-121096,-94321,-2193979,-6074664,-6871156,-1055744,-700227,-548501,-476963,675714,-704424,-717901,-411936,1149806,1058714,-644032,-1075314,-297288,2999138,5057403,3796466,2885748,1400552,1964806
82,Other Non-Cash Items,54343,-106388,3538782,7945361,3001162,-5473226,-58173,340074,-309090,-1275566,1404915,-433297,-731511,-1018104,-806648,-2084351,5881150,-3493784,-2043845,-897015,2586848,1143906,1699302,-2411281254
83,Cash Provided by Operating Activities,-21579,-341331,-2456651,-440473,-1000,134358,35350,-96136,-309371,-1297964,-613649,-1088590,-766754,1281173,-1397020,-2943957,5137254,-1849298,4204404,3451835,208029,-585580,-1857646,-2370991000
84,CAPEX,-6182,-109024,-72365,- -,- -,- -,-2688,-2277,-18686,-216843,-158232,-55518,-26991,-59381,-109883,-12695,-77598,-88434,-53510,-47587,-53866,-34123,-13500,-31928000
85,Acquisitions Net,- -,- -,-871250,- -,- -,- -,- -,- -,-1353324,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-500000,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,35112,- -,-24000,- -,- -,- -,-342150,- -,- -,- -,- -,- -,- -,- -,-12193,- -,- -,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,-6182,-109024,-908503,- -,-24000,- -,-2688,-2277,-1714160,-216843,-158232,-55518,-26991,-59381,-109883,-512695,-89791,-88434,-53510,-47587,-53866,-34123,-13500,-31928000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-697000,- -,-4871223,-8793100,-6764448,-13793420,-20820199,-14591074,-31585687,-31698992,- -,- -,- -,- -
91,Common Stock Issued,180001,191117,2499774,215000,- -,- -,5000,30000,720025,546000,- -,700000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,-550004,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-250000,- -,-71407,-36333,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,199143,1681441,224413,25000,-109517,15000,- -,1492500,1028525,1367450,554604,5513340,7620679,8518000,17275405,15650000,16579664,28716207,30566812,- -,- -,- -,2456641000
95,Cash Used/Provided by Financing Activities,180001,390260,3631211,439413,25000,-109517,20000,30000,2212525,1574525,670450,1254604,642117,-1172421,1753552,3481985,-5170199,1988590,-2869480,-1382180,- -,-71407,-36333,2456641000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,180001,-60095,266057,439413,25000,-109517,52662,-68413,188994,59718,-101431,110496,-151628,49371,246649,25333,-122736,50858,1281414,2022068,154163,-691110,-1907479,1276268230
98,Cash at the End of Period,97907,37812,147873,- -,- -,24841,77503,9090,198084,257802,156371,266867,115239,164610,411259,436592,313856,364714,1646128,3668196,3822359,3131249,1223770,1277492000
99,Cash at the Beginning of Period,- -,97907,-118184,1060,- -,- -,24841,77503,9090,198084,257802,156371,266867,115239,164610,411259,436592,313856,364714,1646128,3668196,3822359,3131249,1223770
100,Free Cash Flow,-27761,-450355,-2529016,-440473,-1000,134358,32662,-98413,-328057,-1514807,-771881,-1144108,-793745,1221792,-1506903,-2956652,5059656,-1937732,4150894,3404248,154163,-619703,-1871146,-2402919000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/814926/000093980213000056/0000939802-13-000056-index.htm,https://www.sec.gov/Archives/edgar/data/814926/000093980214000087/0000939802-14-000087-index.htm,https://www.sec.gov/Archives/edgar/data/814926/000093980215000016/0000939802-15-000016-index.htm,https://www.sec.gov/Archives/edgar/data/814926/000093980216000098/0000939802-16-000098-index.htm,https://www.sec.gov/Archives/edgar/data/814926/000093980217000024/0000939802-17-000024-index.htm,https://www.sec.gov/Archives/edgar/data/814926/000093980218000024/0000939802-18-000024-index.htm,https://www.sec.gov/Archives/edgar/data/814926/000093980219000011/0000939802-19-000011-index.htm,https://www.sec.gov/Archives/edgar/data/814926/000093980220000010/0000939802-20-000010-index.htm,https://www.sec.gov/Archives/edgar/data/814926/000093980221000025/0000939802-21-000025-index.htm,https://www.sec.gov/Archives/edgar/data/814926/000157570522000234/0001575705-22-000234-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,
