,https://roic.ai/company/INTI,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
15,EBITDA,- -,200000,-900000,-1600000,-1544038,65928,-716488,299409,787156,1077597,1284968,45115,-1131062,-5492777,-847003,-595658,-819761,-560670,-1999809,-3937819,-3949590,-6978230,-5083300,-4536200,-2718820,-1058997,-325395
16,EBITDA ratio,- -,0.2000,-0.5000,-1.0000,-0.6019,0.0151,-0.1497,0.0675,0.1542,0.1875,0.1647,0.0069,-0.0911,-0.5821,-0.2588,-0.9760,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
17,Operating Income,- -,200000,-900000,-2200000,-1861906,-633265,-1327471,-340701,154678,261552,253038,-959400,-2814583,-2517012,-2067937,-416156,-982096,-560670,-1999809,-3937817,-3949585,-7022202,-5119031,-4564257,-2747896,-1058997,-325395
18,Operating Income ratio,- -,0.2000,-0.5000,-1.3750,-0.7259,-0.1450,-0.2774,-0.0768,0.0303,0.0455,0.0324,-0.1469,-0.2266,-0.2668,-0.6319,-0.6819,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
19,Total Other Income Expenses (Gains),- -,- -,- -,300000,- -,- -,-138850,- -,22970,22963,68404,104624,99634,-4423691,-224461,-228461,717294,747036,164753,-37483,-5,21982,17861,14027,14536,1068,26763
20,Income Before Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-644617,-264802,186366,-1835056,-3975300,-3949590,-7000220,-5101170,-4550230,-2733360,-1057929,-298632
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1.0563,-Infinity,Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,- -,100000,-1200000,-2100000,-2091194,-921916,-1673031,-625726,-80601,-367549,79123,-1152649,-2758101,-9862746,-2360372,-1004270,-227888,186366,-1835056,-3975300,-3949590,-7000220,-5101170,-4550230,-2733360,-1057929,-298632
24,Net Income ratio,- -,0.1000,-0.6667,-1.3125,-0.8152,-0.2111,-0.3496,-0.1411,-0.0158,-0.0639,0.0101,-0.1764,-0.2220,-1.0453,-0.7212,-1.6456,-Infinity,Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
25,EPS,- -,1.54,-3.55,-1.29,-1.27,-0.51,-0.81,-0.29,-0.03,-0.12,0.02,-0.35,-0.54,-1.68,-0.31,-0.10,-0.02,0.01,-0.10,-0.04,-0.02,-0.02,-0.01,-0.01,-0.01,-0.00,-0.00
26,EPS Diluted,- -,1.54,-3.55,-1.29,-1.27,-0.51,-0.81,-0.29,-0.03,-0.12,0.02,-0.35,-0.54,-1.68,-0.31,-0.10,-0.02,0.01,-0.10,-0.04,-0.02,-0.02,-0.01,-0.01,-0.01,-0.00,-0.00
27,Weighted Average Shares Outstanding,- -,1586000,329480,1627907,1646609,1807678,2065470,2157676,2686700,3062908,3956150,3293283,5107594,5864149,7549845,9864040,12108141,13646638,17940586,95884524,232616649,288752723,366622107,369812939,370432295,371927734,371927734
28,Weighted Average Shares Outstanding Diluted,- -,1586000,329480,1666667,1649485,1916900,2083235,2157676,2686700,3335450,3956150,3301845,5107594,5864149,7549845,9864040,12108141,13646638,17940586,95884524,232616649,288752723,366622107,369812939,370432295,371927734,371927734
29,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1042418/000119312515050220/0001193125-15-050220-index.htm,https://www.sec.gov/Archives/edgar/data/1042418/000119312516446037/0001193125-16-446037-index.htm,https://www.sec.gov/Archives/edgar/data/1042418/000119312517048025/0001193125-17-048025-index.htm,https://www.sec.gov/Archives/edgar/data/1042418/000119312518047834/0001193125-18-047834-index.htm,https://www.sec.gov/Archives/edgar/data/1042418/000119312519066503/0001193125-19-066503-index.htm,https://www.sec.gov/Archives/edgar/data/1042418/000119312520090201/0001193125-20-090201-index.htm,https://www.sec.gov/Archives/edgar/data/1042418/000119312521095516/0001193125-21-095516-index.htm,https://www.sec.gov/Archives/edgar/data/1042418/000119312522088832/0001193125-22-088832-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,260000,6270000,2090000,30000,590000,120000,270000,300000,2740000,2810000,1900000,2530000,240000,690000,100000,1320000,860000,- -,365160,601450,6885420,344110,1108710,803820,75059,30626
32,Short-Term Investments,- -,- -,- -,- -,- -,1000000,- -,- -,- -,- -,- -,- -,- -,70000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,260000,6270000,2090000,30000,1590000,120000,270000,300000,2740000,2810000,1900000,2530000,310000,690000,100000,1320000,860000,- -,365160,601450,6885420,344110,1108710,803820,75059,30626
34,Net Receivables,80000,120000,150000,300000,460000,790000,630000,490000,800000,1330000,1340000,960000,2900000,1450000,630000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
35,Inventory,- -,- -,10000,- -,- -,- -,- -,- -,- -,- -,- -,- -,2170000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,60000,80000,70000,90000,70000,80000,60000,70000,130000,440000,640000,90000,10000,2270000,60000,80000,10000,97820,34410,311100,311660,41300,42450,32292,28158
37,Total Current Assets,80000,380000,6490000,2470000,560000,2470000,820000,840000,1160000,4140000,4280000,3300000,8240000,1850000,1330000,2370000,1380000,940000,10000,462980,635860,7196520,655770,1150010,846270,107351,58784
38,PP&E,100000,240000,1440000,7260000,7020000,7160000,6790000,6200000,5650000,5700000,5970000,5610000,7520000,6360000,5660000,10000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
39,Goodwill,10000,- -,- -,- -,- -,- -,- -,- -,- -,490000,490000,490000,3240000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,560000,320000,40000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,10000,- -,- -,- -,- -,- -,- -,- -,- -,1050000,810000,530000,3240000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,10000,- -,670000,670000,720000,740000,780000,770000,110000,80000,60000,1040000,160000,300000,3770000,- -,- -,- -,- -,250000,141580,112280,82990,53700,24408,- -
45,Total Non-Current Assets,110000,250000,1440000,7930000,7690000,7880000,7530000,6980000,6420000,6860000,6860000,6200000,11800000,6520000,5960000,3780000,- -,- -,- -,- -,250000,141580,112280,82990,53700,24408,- -
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,190000,630000,7930000,10400000,8250000,10350000,8350000,7820000,7580000,11000000,11140000,9500000,20040000,8370000,7290000,6150000,1380000,940000,10000,462980,885860,7338100,768050,1233000,899970,131759,58784
48,Accounts Payable,30000,50000,280000,800000,480000,550000,500000,490000,240000,380000,410000,310000,2140000,1120000,1110000,530000,370000,- -,290000,324970,383360,297830,534960,384830,315940,269416,279842
49,Short-Term Debt,- -,- -,300000,200000,481680,342111,266699,174991,100000,409541,512729,228545,2656571,5212498,1983478,1325538,- -,- -,68428,- -,- -,- -,- -,- -,- -,30044,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3000000,3000000,3000000
52,Other Current Liabilities,50000,240000,50000,120000,8320,27889,33301,85009,240000,170459,197271,51455,2063429,767502,886522,1584462,170000,560000,421572,75930,78520,10300,66530,315820,-2884840,-2874054,-2600212
53,Total Current Liabilities,80000,290000,630000,1120000,970000,920000,800000,750000,580000,960000,1120000,590000,6860000,7100000,3980000,3440000,540000,560000,780000,400900,461880,308130,601490,700650,431100,425406,679630
54,Long-Term Debt,40000,190000,- -,4000000,4000000,4080000,3890000,3730000,3630000,4080000,4010000,3790000,3240000,- -,2450000,2160000,670000,- -,- -,- -,- -,- -,- -,- -,- -,66556,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,500000,3000000,3000000,3000000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,-10000,- -,- -,- -,-10000,- -,- -,- -,- -,- -,-10000,10000,10000,150000,150000,540000,510000,- -,- -,- -,- -,- -,- -,- -,- -,- -
58,Total Non-Current Liabilities,40000,180000,- -,4000000,4000000,4070000,3890000,3730000,3630000,4080000,4010000,3780000,3250000,10000,2600000,2310000,1210000,510000,- -,- -,- -,- -,- -,500000,3000000,3066556,3000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,120000,470000,630000,5120000,4970000,4990000,4690000,4480000,4210000,5040000,5130000,4370000,10110000,7110000,6580000,5750000,1750000,1070000,780000,400900,461880,308130,601490,1200650,3431100,3491962,3679630
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,17,- -,- -,- -,- -,3960866,3960866,3960866,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,21140,24540,35350,36960,37010,37050,37364,37686
64,Retained Earnings,- -,30000,-1460000,-3550000,-5640000,-6570000,-8240000,-8860000,-8950000,-9310000,-9230000,-10390000,-13140000,-23010000,-25370000,-26370000,-26600000,-26410000,-28250000,-32222950,-36172540,-43172760,-48273920,-52980640,-55914000,-57172476,-57671109
65,Other Comprehensive Income/Loss,-80000,-140000,-290000,-600000,-1130000,-1710000,-2270000,-2870000,-3470000,-4050000,-239831,-309104,481615,-83251,520191,652927,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
66,Other Total Stockholders Equity,140000,310000,9050000,9450000,10052503,13629565,14164769,15071087,15791293,19321808,20446600,21318922,22072949,31723279,25079262,25771041,26290850,26277216,27484164,32263889,36571979,50167372,48403523,49015115,49384949,49814043,54012577
67,Total Stockholders Equity,60000,200000,7300000,5300000,3282503,5349565,3654769,3341087,3371293,5961808,6016600,5128922,9932949,1263279,709262,401041,-369150,-132784,-765836,62079,423979,7029962,166563,32351,-2531135,-3360203,-3620846
68,Total Liabilities And Stockholders Equity,180000,670000,7930000,10420000,8252503,10339565,8344769,7821087,7581293,11001808,11146600,9498922,20042949,8373279,7289262,6151041,1380850,937216,14164,462979,885859,7338092,768053,1233001,899965,131759,58784
69,Minority Interest,10000,-40000,- -,-20000,-2503,10435,5231,-1087,-1293,-1808,-6600,1078,-2949,-3279,738,-1041,-850,2784,-4164,1,1,8,-3,-1,5,- -,- -
70,Total Liabilities & Equity,190000,630000,7930000,10400000,8250000,10350000,8350000,7820000,7580000,11000000,11140000,9500000,20040000,8370000,7290000,6150000,1380000,940000,10000,462980,885860,7338100,768050,1233000,899970,131759,58784
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1042418/000119312515050220/0001193125-15-050220-index.htm,https://www.sec.gov/Archives/edgar/data/1042418/000119312516446037/0001193125-16-446037-index.htm,https://www.sec.gov/Archives/edgar/data/1042418/000119312517048025/0001193125-17-048025-index.htm,https://www.sec.gov/Archives/edgar/data/1042418/000119312518047834/0001193125-18-047834-index.htm,https://www.sec.gov/Archives/edgar/data/1042418/000119312519066503/0001193125-19-066503-index.htm,https://www.sec.gov/Archives/edgar/data/1042418/000119312520090201/0001193125-20-090201-index.htm,https://www.sec.gov/Archives/edgar/data/1042418/000119312521095516/0001193125-21-095516-index.htm,https://www.sec.gov/Archives/edgar/data/1042418/000119312522088832/0001193125-22-088832-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-10000,100000,-1200000,-2100000,-2091194,-921916,-1673031,-625726,-80601,-367549,79123,-1152649,-2758101,-9862746,-2360372,-1004270,-227888,186366,-1835056,-3975300,-3949590,-7000220,-5101170,-4550230,-2733360,-1057929,-298632
74,Depreciation and Amortization,40000,100000,300000,300000,547156,634539,673419,631730,609508,793082,963526,899891,893050,2739949,1037711,175464,162335,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,208655,138733,6000,8000,- -,- -,753585,1721485,3563675,1865993,543098,269924,228861,37990
77,Change in Working Capital,-40000,90000,5770000,-4510000,-1760000,1960000,-1530000,70000,490000,2600000,-20000,-450000,-1330000,-6630000,2600000,1580000,1910000,-460000,-1150000,832080,111900,6714410,-6834110,395080,-34190,-733225,-302791
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1043822,934884,169753,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,25260,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,50247,471687,-34492,46645,61327,150981,-153747,293356,-785,-270425,-35739,53267
81,Other Working Capital,- -,90000,5860000,1350000,-410000,1550000,20000,90000,580000,3180000,3160000,2710000,1380000,-5250000,-2650000,-1070000,840000,380000,-770000,62080,173980,6888390,54280,449360,415170,-318055,-620846
82,Other Non-Cash Items,70000,110000,-5570000,4510000,1231794,-2230852,1709801,166908,-770282,-3065867,-14892,779832,2327323,12177717,-1201519,-931001,-1784914,-190632,1761441,1086111,-147511,-7036413,7156205,-96214,-208093,736936,343000
83,Cash Provided by Operating Activities,60000,400000,-700000,-1800000,-2072244,-558229,-819811,242912,248625,-40334,1007757,77074,-867728,-1366425,214553,-173807,67533,-464266,-1223615,-1303524,-2263716,-3758548,-2913082,-3708266,-2705719,-825357,-220433
84,CAPEX,- -,-200000,-1300000,-6100000,-285734,-332889,-343853,-31524,-49694,-551272,-479658,-236703,-598610,-6007,-163914,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,-33047,- -,- -,- -,-538418,- -,-257235,2809679,- -,610000,- -,106000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,-1354960,-299684,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,367510,1305205,- -,- -,- -,- -,- -,- -,58265,128079,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,10000,- -,- -,- -,- -,- -,33047,- -,- -,- -,- -,- -,- -,- -,- -,- -,1368837,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,10000,-200000,-1300000,-6100000,-285734,-1353386,694715,-31524,-49694,-1089690,-479658,-493938,2211069,52258,574165,- -,1474837,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1071578,-166907,-481941,-296410,- -,- -,-105170,- -,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,- -,- -,5400000,100000,63078,2953122,- -,247544,1640,2958064,- -,22834,43549,500000,- -,1000,- -,- -,- -,1500000,2500000,5501324,- -,3960866,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,-12909,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,-100000,-100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-99178,- -,-100823
94,Other Financing Activites,-70000,200000,2800000,3600000,234944,-485981,-333000,-304939,-175793,619072,-459005,-512729,-552398,757443,-204369,200000,-23904,- -,366130,273638,- -,4541201,-3628227,512000,2500000,96600,276823
95,Cash Used/Provided by Financing Activities,-70000,100000,8100000,3700000,298022,2467141,-345909,-57395,-174153,3577136,-459005,-489895,-508849,185865,-371276,-280941,-320314,- -,366130,1668468,2500000,10042525,-3628227,4472866,2400822,96600,176000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,295048,-1161857,30899,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,100000,8100000,3700000,-2059956,555526,-471005,153993,24778,2447112,69094,-906759,1129540,-2290159,448341,-454748,1222056,-464266,-857485,364944,236284,6283977,-6541309,764600,-304897,-728757,-44433
98,Cash at the End of Period,- -,- -,- -,- -,31630,587156,116151,270144,294922,2742034,2811129,1904370,2533910,243751,692092,99912,1321968,857702,217,365161,601445,6885422,344113,1108713,803816,75059,30626
99,Cash at the Beginning of Period,- -,- -,300000,6300000,2091586,31630,587156,116151,270144,294922,2742035,2811129,1404370,2533910,243751,554660,99912,1321968,857702,217,365161,601445,6885422,344113,1108713,803816,75059
100,Free Cash Flow,60000,200000,-2000000,-7900000,-2357978,-891118,-1163664,211388,198931,-591606,528099,-159629,-1466338,-1372432,50639,-173807,67533,-464266,-1223615,-1303524,-2263716,-3758548,-2913082,-3708266,-2705719,-825357,-220433
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1042418/000119312515050220/0001193125-15-050220-index.htm,https://www.sec.gov/Archives/edgar/data/1042418/000119312516446037/0001193125-16-446037-index.htm,https://www.sec.gov/Archives/edgar/data/1042418/000119312517048025/0001193125-17-048025-index.htm,https://www.sec.gov/Archives/edgar/data/1042418/000119312518047834/0001193125-18-047834-index.htm,https://www.sec.gov/Archives/edgar/data/1042418/000119312519066503/0001193125-19-066503-index.htm,https://www.sec.gov/Archives/edgar/data/1042418/000119312520090201/0001193125-20-090201-index.htm,https://www.sec.gov/Archives/edgar/data/1042418/000119312521095516/0001193125-21-095516-index.htm,https://www.sec.gov/Archives/edgar/data/1042418/000119312522088832/0001193125-22-088832-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,
