,https://roic.ai/company/CARG,2015,2016,2017,2018,2019,2020,2021
89,Cash Used for Investing Activites,-7615000,-51992000,-12598000,-80278000,-22257000,-16895000,-68149000
90,Debt Repayment,- -,- -,- -,- -,-30000,-37000,-14289000
91,Common Stock Issued,- -,- -,44382000,- -,- -,- -,- -
92,Common Stock Repurchased,-18000000,-60000000,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,67965000,60690000,398000,-23395000,-14663000,-10048000,32097000
95,Cash Used/Provided by Financing Activities,49965000,690000,44780000,-23395000,-14693000,-10085000,17808000
96,Effect of Forex Changes on Cash,- -,-45000,159000,-44000,-1000,440000,-597000
97,Net Change In Cash,55265000,-31343000,58032000,-51994000,33165000,130203000,47354000
98,Cash at the End of Period,62863000,31520000,89552000,37558000,70723000,200926000,248280000
99,Cash at the Beginning of Period,7598000,62863000,31520000,89552000,37558000,70723000,200926000
100,Free Cash Flow,5300000,12786000,18319000,44245000,55890000,149212000,84416000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1494259/000156459018004127/0001564590-18-004127-index.htm,https://www.sec.gov/Archives/edgar/data/1494259/000156459019005473/0001564590-19-005473-index.htm,https://www.sec.gov/Archives/edgar/data/1494259/000156459020004805/0001564590-20-004805-index.htm,https://www.sec.gov/Archives/edgar/data/1494259/000156459021005612/0001564590-21-005612-index.htm,https://www.sec.gov/Archives/edgar/data/1494259/000095017022002023/0000950170-22-002023-index.htm
102,false,,,,,,,
