,https://roic.ai/company/PHG,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,- -,5997473316,6172706250,6862423632,6883950675,6654583481,7737013215,7659638007,7724281758,7756672896,6133689980,6205448340,5293313280,5176652110,4744481440,9448711370,9006519470,8568377730,8262753680,8027699480,7112436030,7328520950,7944000000,7465000000,7481000000,7561000000,8076000000,7757000000,7506000000,8951000000,8754000000,6739000000,6914000000,7226000000,7120000000,6663000000
11,COGS and Expenses,- -,22076425386,23016428125,24517814681,23224001850,23665904626,25647015825,26051121901,27006159642,29573095326,30747993430,32033604330,29278639080,29750097440,33515885720,32302297310,30932453230,28091987370,28402893040,28589180910,25793282980,24980071270,25834000000,22575000000,23354000000,21493000000,23455000000,21398000000,20691000000,23339000000,22658000000,16339000000,16482000000,17833000000,17874000000,16651000000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,140000000,225000000,214000000,112000000,106000000,70000000,114000000,98000000,76000000,126000000,30000000,27000000,15000000,149000000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,246000000,391000000,336000000,352000000,352000000,400000000,415000000,467000000,569000000,263000000,188000000,195000000,173000000,188000000
14,Depreciation and Amortization,- -,1197866376,1181368125,1514929554,1694041650,1434675333,1616287905,1477760669,1517897244,1421074011,1659969020,1679089230,1879262640,1858387300,2326456900,2801907630,2186113180,2011277990,2291234080,1507093350,834216690,852536410,1190000000,1469000000,1422000000,1456000000,1433000000,1349000000,1187000000,1281000000,1267000000,1025000000,1089000000,1402000000,1520000000,1323000000
15,EBITDA,- -,1523447010,1542620000,2094717408,-115592400,2151602089,1247779890,2543085496,2797109346,2936517132,1493650730,4682722590,7939969920,4000004750,12526666100,-228153730,-995853650,2689379610,5483175440,4959476940,6354746030,5650197060,1536000000,2370000000,3713000000,796000000,2319000000,3384000000,2043000000,2632000000,3611000000,3294000000,2560000000,3101000000,3164000000,4727000000
16,EBITDA ratio,- -,0.0664,0.0645,0.0829,-0.0048,0.0863,0.0469,0.0937,0.0976,0.0939,0.0468,0.1365,0.2622,0.1268,0.3299,-0.0070,-0.0313,0.0928,0.1810,0.1633,0.2356,0.2106,0.0582,0.1022,0.1461,0.0353,0.0936,0.1451,0.0955,0.1086,0.1473,0.1853,0.1413,0.1592,0.1620,0.2755
17,Operating Income,- -,868291830,901117500,748787336,911457750,1274420238,977171040,1088895150,1639971606,1712760351,835608800,2225452320,681275340,1756026930,4293031680,-1373418020,420259770,487534420,1605929360,1777272550,1182754090,1854592480,317000000,614000000,2065000000,-269000000,1030000000,1991000000,486000000,992000000,1882000000,1517000000,1719000000,1644000000,1542000000,553000000
18,Operating Income ratio,- -,0.0378,0.0377,0.0296,0.0378,0.0511,0.0367,0.0401,0.0572,0.0547,0.0262,0.0649,0.0225,0.0557,0.1131,-0.0424,0.0132,0.0168,0.0530,0.0585,0.0438,0.0691,0.0120,0.0265,0.0812,-0.0119,0.0416,0.0853,0.0227,0.0409,0.0768,0.0853,0.0949,0.0844,0.0789,0.0322
19,Total Other Income Expenses (Gains),- -,-542711196,-539865625,-168999482,-2721091800,-654244227,-1345679055,-23570323,-360759504,-184370724,-396110710,-317272410,-102319200,390559470,5907177520,-1656643340,-3602226600,204859740,215402560,108071680,34096050,2617279920,-225000000,-166000000,-122000000,-240000000,-246000000,-330000000,-301000000,-369000000,-493000000,-140000000,-216000000,-115000000,-52000000,-44000000
20,Income Before Tax,- -,325580634,361251875,579787854,-1809634050,620176011,-368508015,1065324827,1279212102,1528389627,439498090,1908179910,578956140,2146586400,10200209200,-3030061360,-3181966830,692394160,1821331920,1885344230,1216850140,4471872400,92000000,448000000,1943000000,-509000000,784000000,1661000000,185000000,623000000,1389000000,1377000000,1503000000,1529000000,1490000000,509000000
21,Income Before Tax Ratio,- -,0.0142,0.0151,0.0229,-0.0750,0.0249,-0.0138,0.0393,0.0447,0.0489,0.0138,0.0556,0.0191,0.0680,0.2687,-0.0935,-0.0999,0.0239,0.0601,0.0621,0.0451,0.1666,0.0035,0.0193,0.0764,-0.0225,0.0316,0.0712,0.0086,0.0257,0.0567,0.0774,0.0829,0.0785,0.0763,0.0297
22,Income Tax expense (Gain),- -,90938304,134773750,230078557,149306850,190811894,40880970,158718791,280925970,225705954,106058040,431817750,40927680,336894810,571765380,-421466250,26683160,-15086570,357774800,585951140,137141890,622769960,286000000,100000000,509000000,283000000,308000000,466000000,26000000,239000000,327000000,349000000,193000000,337000000,284000000,-103000000
23,Net Income,- -,234642330,226478125,349709297,-1958940900,526114862,-409388985,906606036,998286132,1289737167,-272376330,2571815610,6019779600,1804722640,9628443820,-2608595110,-3208649990,693188190,2834166560,2866432450,5383387450,4174890690,-186000000,410000000,1446000000,-1295000000,226000000,1169000000,415000000,645000000,1448000000,1657000000,1090000000,1167000000,1187000000,3319000000
24,Net Income ratio,- -,0.0102,0.0095,0.0138,-0.0812,0.0211,-0.0154,0.0334,0.0348,0.0412,-0.0085,0.0750,0.1988,0.0572,0.2536,-0.0805,-0.1007,0.0239,0.0935,0.0944,0.1996,0.1556,-0.0070,0.0177,0.0569,-0.0574,0.0091,0.0501,0.0194,0.0266,0.0591,0.0932,0.0602,0.0599,0.0608,0.1935
25,EPS,- -,0.10,0.12,0.09,-0.44,0.10,-0.09,0.19,0.21,0.25,0.05,0.51,4.48,1.27,7.16,-2.00,-2.46,0.53,2.18,2.24,4.49,3.77,-0.09,0.43,1.51,-1.33,0.25,1.25,0.44,0.69,1.55,1.74,1.16,1.26,1.31,3.67
26,EPS Diluted,- -,0.10,0.12,0.09,-0.44,0.10,-0.09,0.19,0.21,0.24,0.05,0.49,4.45,1.26,7.09,-2.00,-2.46,0.53,2.17,2.24,4.46,3.73,-0.09,0.43,1.50,-1.33,0.24,1.24,0.44,0.69,1.53,1.72,1.14,1.25,1.29,3.65
27,Weighted Average Shares Outstanding,- -,1094505538,1094505538,1094505538,1176445012,1369861756,1369861756,1265046522,1339738113,1369861756,4979704346,5089681047,1351884113,1405994512,1339490448,1304002791,1300812360,1303081474,1306220891,1275311357,1198758353,1108160106,1011530954,944254382,958926080,970951159,945752160,929553095,933757690,934669824,936637954,947638667,941709791,921298989,907721000,904272000
28,Weighted Average Shares Outstanding Diluted,- -,1094505538,1094505538,1094505538,1176445012,1369861756,1369861756,1265046522,1339738113,1369861756,4979704346,5089681047,1353644428,1427486266,1357382141,1304002791,1300812360,1303081474,1306220891,1275311357,1206776773,1119696468,1016932343,947882515,966949601,975525097,945752160,940776230,941431253,942360733,947629484,964304002,954834737,931204936,916625000,909655000
29,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/313216/000115697305000220/0001156973-05-000220-index.htm,https://www.sec.gov/Archives/edgar/data/313216/000115697306000211/0001156973-06-000211-index.htm,https://www.sec.gov/Archives/edgar/data/313216/000115697307000251/0001156973-07-000251-index.htm,https://www.sec.gov/Archives/edgar/data/313216/000115697308000201/0001156973-08-000201-index.htm,https://www.sec.gov/Archives/edgar/data/313216/000115697309000099/0001156973-09-000099-index.htm,https://www.sec.gov/Archives/edgar/data/313216/000095012310015062/0000950123-10-015062-index.htm,https://www.sec.gov/Archives/edgar/data/313216/000095012311015455/0000950123-11-015455-index.htm,https://www.sec.gov/Archives/edgar/data/313216/000119312512078390/0001193125-12-078390-index.htm,https://www.sec.gov/Archives/edgar/data/313216/000119312513073920/0001193125-13-073920-index.htm,https://www.sec.gov/Archives/edgar/data/313216/000119312514067281/0001193125-14-067281-index.htm,https://www.sec.gov/Archives/edgar/data/313216/000119312515059725/0001193125-15-059725-index.htm,https://www.sec.gov/Archives/edgar/data/313216/000119312516473594/0001193125-16-473594-index.htm,https://www.sec.gov/Archives/edgar/data/313216/000119312517050359/0001193125-17-050359-index.htm,https://www.sec.gov/Archives/edgar/data/313216/000031321618000007/0000313216-18-000007-index.htm,https://www.sec.gov/Archives/edgar/data/313216/000031321619000007/0000313216-19-000007-index.htm,https://www.sec.gov/Archives/edgar/data/313216/000031321620000011/0000313216-20-000011-index.htm,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1859244470,3066543860,4345672880,5288757840,6022877810,8782565350,3620000000,4386000000,5833000000,3147000000,3834000000,2465000000,1873000000,1766000000,2334000000,1939000000,1688000000,1425000000,3226000000,2303000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10000000,125000000,12000000,101000000,2000000,436000000,1000000,- -,2000000
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1859244470,3066543860,4345672880,5288757840,6022877810,8782565350,3620000000,4386000000,5833000000,3147000000,3834000000,2475000000,1998000000,1778000000,2435000000,1941000000,2124000000,1426000000,3226000000,2305000000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5072659310,4620460570,4524191440,5151135310,4772689310,4676947530,4289000000,3983000000,4434000000,4577000000,4682000000,4748000000,4863000000,5096000000,5481000000,4018000000,4458000000,5019000000,4561000000,3967000000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3525036030,3198352840,3227350000,3477712890,2879979690,3207813990,3371000000,2913000000,3865000000,3625000000,3495000000,3240000000,3314000000,3463000000,3392000000,2353000000,2674000000,2775000000,2993000000,3450000000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,604182980,597904590,1215696640,1176968140,1286557620,1192042060,1586000000,627000000,465000000,1131000000,517000000,1011000000,2231000000,2356000000,2767000000,1805000000,316000000,239000000,447000000,625000000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11061122790,11483261860,13312910960,15094574180,14962104430,17859368930,12866000000,11909000000,14597000000,12480000000,12528000000,11474000000,12406000000,12693000000,14075000000,10117000000,9572000000,9459000000,11227000000,10347000000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6141891650,4870580020,4993355920,4889399210,3098952100,3185180280,3484000000,3252000000,3265000000,3014000000,2959000000,2780000000,2095000000,2322000000,2155000000,1590000000,1712000000,2866000000,2683000000,2699000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3820272980,4141283060,7701000000,7362000000,8035000000,7016000000,6948000000,6504000000,7158000000,8523000000,8898000000,7731000000,8503000000,8654000000,8014000000,10637000000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4938290540,3758143990,2804659360,4044244900,1914682630,2157061150,3975000000,4161000000,4198000000,3996000000,3731000000,3262000000,3368000000,3693000000,3552000000,3323000000,3588000000,3466000000,2998000000,3650000000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4938290540,3758143990,2804659360,4044244900,5734955610,6298344210,11676000000,11523000000,12233000000,11012000000,10679000000,9766000000,10526000000,12216000000,12450000000,11054000000,12091000000,12120000000,11012000000,14287000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,284000000,281000000,181000000,203000000,459000000,385000000,393000000,448000000,391000000,616000000,558000000,481000000,670000000,1056000000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1144111900,- -,931000000,1243000000,1351000000,1713000000,1917000000,1675000000,2460000000,2758000000,2792000000,1598000000,1828000000,1865000000,1820000000,2216000000
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10176766630,8837553900,9589102320,9806660650,13556589480,9056913350,3800000000,2319000000,642000000,544000000,537000000,479000000,472000000,539000000,440000000,340000000,258000000,225000000,301000000,355000000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,21256948820,17466277910,17387117600,18740304760,23534609090,18540437840,20175000000,18618000000,17672000000,16486000000,16551000000,15085000000,15946000000,18283000000,18228000000,15198000000,16447000000,17557000000,16486000000,20613000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,41227000000
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,32318071610,28949539770,30700028560,33834878940,38496713520,36399806770,33041000000,30527000000,32269000000,28966000000,29079000000,26559000000,28352000000,30976000000,32303000000,25315000000,26019000000,27016000000,27713000000,30961000000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3230568300,3199146870,3496603200,3853430840,3449762570,3087786740,2992000000,95000000,3691000000,3346000000,2835000000,2458000000,2495000000,2669000000,2845000000,2090000000,2303000000,2089000000,2119000000,1872000000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,617524560,1680961510,960459360,1165992110,863008910,2348418880,717000000,627000000,1840000000,582000000,809000000,592000000,392000000,1665000000,1585000000,623000000,1306000000,382000000,359000000,506000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,291000000,191000000,376000000,336000000,278000000,293000000,354000000,247000000,296000000,341000000,310000000,128000000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,308000000,240000000,312000000,375000000,451000000,372000000,1303000000,1170000000,1239000000,1491000000
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5286124590,4344932160,4710824480,5347859540,4817393020,4211927670,5219000000,7328000000,5227000000,5415000000,6003000000,5186000000,6028000000,5359000000,5592000000,3780000000,3031000000,3337000000,4017000000,3581000000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9134217450,9225040540,9167887040,10367282490,9130164500,9648133290,8928000000,8050000000,10758000000,9343000000,9955000000,8476000000,9227000000,10068000000,10473000000,6865000000,7943000000,6978000000,7734000000,7450000000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6498302430,4184538100,3549716160,3317293990,3005756230,1213989900,3441000000,3640000000,2818000000,3278000000,3725000000,3309000000,3712000000,4095000000,4021000000,3468000000,3238000000,4876000000,5591000000,6473000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,214000000,176000000,257000000,251000000,249000000,226000000,348000000,403000000,446000000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,584000000,530000000,171000000,77000000,92000000,76000000,107000000,164000000,66000000,33000000,152000000,143000000,59000000,83000000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2574924940,2624269150,2851133200,3165318190,3233063230,3777771960,3799000000,3663000000,3430000000,3879000000,4133000000,3257000000,4162000000,4612000000,3984000000,2677000000,2343000000,2046000000,2025000000,2035000000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9073227370,6808807250,6400849360,6482612180,6238819460,4991761860,7824000000,7833000000,6419000000,7234000000,7950000000,6856000000,8157000000,9128000000,8322000000,6427000000,5959000000,7413000000,8078000000,9037000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,178000000,145000000,141000000,145000000,194000000,195000000,236000000,1381000000,1215000000,- -
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,18207444820,16033847790,15568736400,16849894670,15368983960,14639895150,16752000000,15883000000,17177000000,16577000000,17905000000,15332000000,17384000000,19196000000,18795000000,13292000000,13902000000,14391000000,15812000000,16487000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,263019720,262823930,262614080,262580410,228064690,228394710,194000000,194000000,197000000,202000000,191000000,188000000,187000000,186000000,186000000,188000000,185000000,179000000,182000000,177000000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16753212600,16940630050,19331642080,21693701140,22085148120,25599411880,20577000000,15947000000,15416000000,12917000000,10713000000,10415000000,7316000000,6437000000,8233000000,- -,- -,- -,- -,- -
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1790630630,-3279343900,-3604304480,-2467918130,1607060490,-1890257720,-3240000000,- -,- -,52000000,35000000,-467000000,671000000,1775000000,1280000000,11811000000,11903000000,652000000,-340000000,748000000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1294133260,-1183104700,-1141190960,-2835192980,-923624110,-2219475320,-1288000000,-1546000000,-567000000,-816000000,201000000,1078000000,2693000000,3264000000,2902000000,- -,- -,11766000000,12028000000,13513000000
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13931468430,12741005380,14848760720,16653170440,22996649190,21718073550,16243000000,14595000000,15046000000,12355000000,11140000000,11214000000,10867000000,11662000000,12601000000,11999000000,12088000000,12597000000,11870000000,14438000000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,32138913250,28774853170,30417497120,33503065110,38365633150,36357968700,32995000000,30478000000,32223000000,28932000000,29045000000,26546000000,28251000000,30858000000,31396000000,25291000000,25990000000,26988000000,27682000000,30925000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,179158360,174686600,282531440,331813830,131080370,41838070,46000000,49000000,46000000,34000000,34000000,13000000,101000000,118000000,907000000,24000000,29000000,28000000,31000000,36000000
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,32318071610,28949539770,30700028560,33834878940,38496713520,36399806770,33041000000,30527000000,32269000000,28966000000,29079000000,26559000000,28352000000,30976000000,32303000000,25315000000,26019000000,27016000000,27713000000,30961000000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/313216/000115697305000220/0001156973-05-000220-index.htm,https://www.sec.gov/Archives/edgar/data/313216/000115697306000211/0001156973-06-000211-index.htm,https://www.sec.gov/Archives/edgar/data/313216/000115697307000251/0001156973-07-000251-index.htm,https://www.sec.gov/Archives/edgar/data/313216/000115697308000201/0001156973-08-000201-index.htm,https://www.sec.gov/Archives/edgar/data/313216/000115697309000099/0001156973-09-000099-index.htm,https://www.sec.gov/Archives/edgar/data/313216/000095012310015062/0000950123-10-015062-index.htm,https://www.sec.gov/Archives/edgar/data/313216/000095012311015455/0000950123-11-015455-index.htm,https://www.sec.gov/Archives/edgar/data/313216/000119312512078390/0001193125-12-078390-index.htm,https://www.sec.gov/Archives/edgar/data/313216/000119312513073920/0001193125-13-073920-index.htm,https://www.sec.gov/Archives/edgar/data/313216/000119312514067281/0001193125-14-067281-index.htm,https://www.sec.gov/Archives/edgar/data/313216/000119312515059725/0001193125-15-059725-index.htm,https://www.sec.gov/Archives/edgar/data/313216/000119312516473594/0001193125-16-473594-index.htm,https://www.sec.gov/Archives/edgar/data/313216/000119312517050359/0001193125-17-050359-index.htm,https://www.sec.gov/Archives/edgar/data/313216/000031321618000007/0000313216-18-000007-index.htm,https://www.sec.gov/Archives/edgar/data/313216/000031321619000007/0000313216-19-000007-index.htm,https://www.sec.gov/Archives/edgar/data/313216/000031321620000011/0000313216-20-000011-index.htm,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,- -,526114862,-409388985,906606036,998286132,1289737167,-272376330,2571815610,6019779600,1804722640,9628443820,-2608595110,-3208649990,693188190,2834166560,2866432450,5383387450,4174890690,-186000000,410000000,1446000000,-1295000000,226000000,1169000000,415000000,645000000,1448000000,1657000000,1090000000,1167000000,1187000000,3319000000
74,Depreciation and Amortization,- -,- -,- -,- -,- -,1434675333,1616287905,1477760669,1517897244,1421074011,1659969020,1679089230,1879262640,1858387300,2326456900,2801907630,2186113180,2011277990,2291234080,1507093350,834216690,852536410,1190000000,1469000000,1422000000,1456000000,1433000000,1349000000,1187000000,1281000000,1267000000,1025000000,1089000000,1402000000,1520000000,1323000000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,26000000,239000000,327000000,349000000,193000000,337000000,284000000,-103000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,98000000,115000000,108000000
77,Change in Working Capital,- -,- -,- -,- -,- -,775500180,309338190,1046862901,-225474690,-1123070400,-81150470,168181650,138130920,-590311260,-1195703020,494520400,565111210,-90519420,-32457920,-364741920,-1376722730,-851164670,285000000,-222000000,-509000000,-1269000000,392000000,-1687000000,540000000,-346000000,-512000000,-509000000,-500000000,-669000000,-133000000,13000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-213636150,-59686200,45714340,-981690280,- -,- -,- -,- -,-195879920,2273070,-389574160,41000000,687000000,-705000000,-81000000,-19000000,-165000000,-77000000,22000000,44000000,-144000000,-394000000,-175000000,-584000000,-581000000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-479000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
