,https://roic.ai/company/TLSS,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
21,Income Before Tax Ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-0.5723,-1.0704,-1.4091,-1.6565,1.1382
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2650217
23,Net Income,-30000,-10000,-20000,-20000,-290000,-1000000,-1260000,-744805,-14478160,-44864460,-42781958,3604573
24,Net Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-0.5723,-1.0630,-1.4308,-1.6565,0.6560
25,EPS,-0.39,-0.08,-0.18,-0.18,-6.25,-12.50,-12.50,-2.50,-5.75,-4.80,-0.08,0.00
26,EPS Diluted,-0.39,-0.08,-0.18,-0.18,-6.25,-12.50,-12.50,-2.50,-5.75,-4.80,-0.08,0.00
27,Weighted Average Shares Outstanding,122624,122624,111248,84838,93028,105217,107069,542480,2516059,9561186,751822976,751822976
28,Weighted Average Shares Outstanding Diluted,122624,122624,111248,84838,93028,105217,107069,542480,2516059,9561186,751822976,751822976
29,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1463208/000146320811000002/0001463208-11-000002-index.html,https://www.sec.gov/Archives/edgar/data/1463208/000146320812000008/0001463208-12-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1463208/000149315214001028/0001493152-14-001028-index.htm,https://www.sec.gov/Archives/edgar/data/1463208/000149315214002051/0001493152-14-002051-index.html,https://www.sec.gov/Archives/edgar/data/1463208/000149315215002705/0001493152-15-002705-index.html,https://www.sec.gov/Archives/edgar/data/1463208/000149315216011846/0001493152-16-011846-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1463208/000149315219005485/0001493152-19-005485-index.htm,https://www.sec.gov/Archives/edgar/data/1463208/000149315220010659/0001493152-20-010659-index.htm,https://www.sec.gov/Archives/edgar/data/1463208/000149315221006283/0001493152-21-006283-index.htm,https://www.sec.gov/Archives/edgar/data/1463208/000149315222008523/0001493152-22-008523-index.htm
30,BALANCE SHEET, , , , , , , , , , , , 
31,Cash and Cash Equivalents,10000,- -,- -,- -,9040,- -,- -,106576,296200,50030,579283,6067692
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,10000,- -,- -,- -,9040,- -,- -,106576,296200,50030,579283,6067692
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,254150,441500,963770,372922,481734
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,- -,1880,1880,663,844960,1246550,443410,197336
37,Total Current Assets,10000,- -,- -,- -,9040,1880,1880,361389,1582660,2260350,1395615,6746762
38,PP&E,- -,- -,- -,- -,- -,739810,1390,- -,936830,1990840,2044081,577205
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,18300,8370,- -,4668330,- -,- -,2177382
41,Intangible Assets,- -,- -,- -,- -,- -,18300,8370,- -,4668330,- -,- -,2177382
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,478490,- -,-10,- -,5000,76500,94000,33340
45,Total Non-Current Assets,- -,- -,- -,- -,478490,758110,9750,- -,5610160,2067340,2138081,2787927
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,10000,- -,- -,- -,487530,759990,11630,361389,7192820,4327690,3533696,9534689
48,Accounts Payable,- -,- -,- -,10000,- -,- -,- -,154278,655180,1517080,1104263,312772
49,Short-Term Debt,- -,- -,- -,44690,10118,10553,10326,272616,3135297,6892473,5779603,283141
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,13050,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,1500,- -,- -,- -,- -
52,Other Current Liabilities,10000,20000,30000,-4690,52562,146707,194634,708132,10715623,7364297,11123035,410194
53,Total Current Liabilities,10000,20000,30000,50000,62680,157260,204960,1136526,14506100,15773850,18006901,1006107
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,424020,- -,437594,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,-10,1440260,1102617,12455
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,424010,1440260,1540211,12455
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,1773384,1483460,- -
61,Total Liabilities,10000,20000,30000,50000,62680,157260,204960,1136526,14930110,17214110,19547112,12455
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,4000,4000,1700,805,- -
63,Common Stock,- -,- -,110000,50000,63700,26320,27250,142527,4220,11830,1733848,2926529
64,Retained Earnings,-30000,-40000,-60000,-70000,-363640,-1367260,-2630520,-744779,-15222940,-60615860,-122621060,-119016487
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,-1390,- -,-96570,-64210,- -,- -
66,Other Total Stockholders Equity,20000,20000,-84728,-30275,724790,1943665,2411328,-176885,7573996,47780116,104872991,124606085
67,Total Stockholders Equity,-7137,-17573,-34728,-50275,424850,602725,-193332,-775137,-7737294,-12886424,-16013416,8516127
68,Total Liabilities And Stockholders Equity,2863,2427,-4728,-275,487530,759985,11628,361389,7192816,4327686,3533696,8528582
69,Minority Interest,7137,-2427,4728,275,- -,5,2,- -,4,4,- -,1006107
70,Total Liabilities & Equity,10000,- -,- -,- -,487530,759990,11630,361389,7192820,4327690,3533696,9534689
71,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1463208/000146320811000002/0001463208-11-000002-index.html,https://www.sec.gov/Archives/edgar/data/1463208/000146320812000008/0001463208-12-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1463208/000149315214001028/0001493152-14-001028-index.htm,https://www.sec.gov/Archives/edgar/data/1463208/000149315214002051/0001493152-14-002051-index.html,https://www.sec.gov/Archives/edgar/data/1463208/000149315215002705/0001493152-15-002705-index.html,https://www.sec.gov/Archives/edgar/data/1463208/000149315216011846/0001493152-16-011846-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1463208/000149315219005485/0001493152-19-005485-index.htm,https://www.sec.gov/Archives/edgar/data/1463208/000149315220010659/0001493152-20-010659-index.htm,https://www.sec.gov/Archives/edgar/data/1463208/000149315221006283/0001493152-21-006283-index.htm,https://www.sec.gov/Archives/edgar/data/1463208/000149315222008523/0001493152-22-008523-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , 
73,Net Income,-30000,-10000,-20000,-20000,-290000,-1000000,-1260000,-744805,-14478160,-44864460,-42781958,6254790
74,Depreciation and Amortization,- -,- -,- -,- -,2911,9762,10858,- -,664350,969893,102109,685644
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,160,- -,- -,454000,- -,- -,4326000,8526204,1999749,4321
77,Change in Working Capital,3000,-20000,-10000,-20000,-3640,-101740,-47700,-572057,-12148303,-590060,-3097786,22351941
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,-255450,707329,-542274,583818,166486
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,3490,17288,57115,73397,164642,910843,1687210,258554,132155
81,Other Working Capital,- -,-20000,-30000,-50000,-53640,-155380,-203080,-775137,-12923440,-13513500,-16611286,5740655
82,Other Non-Cash Items,2301,16619,26890,39968,103669,191713,904842,1164677,21352435,30299329,40499628,-33382383
83,Cash Provided by Operating Activities,-24699,-13381,-2950,-32,-187060,-446265,-392000,-152185,-283678,-5659094,-3278258,-4085687
84,CAPEX,- -,- -,- -,- -,-231403,-102772,- -,- -,-481826,-54726,-460510,-56174
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,-450976,-5625,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,-36500,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,-31403,-2772,- -,10000,- -,81000,- -,-2119664
89,Cash Used for Investing Activites,- -,- -,- -,- -,-231403,-102772,- -,-26500,-932802,20649,-460510,-2175838
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,-6464,-3807355,-11417425,-3259266,- -
91,Common Stock Issued,- -,- -,- -,- -,375000,540000,392000,- -,- -,1547500,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2509345
94,Other Financing Activites,8100,11300,- -,- -,52500,- -,- -,280000,5213455,15262200,7527291,14259279
95,Cash Used/Provided by Financing Activities,8100,11300,- -,- -,427500,540000,392000,273536,1406100,5392275,4268025,11749934
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-16599,-2081,-2950,- -,427500,540000,392000,94851,189620,-246170,529257,5488409
98,Cash at the End of Period,5063,2982,32,- -,9037,- -,- -,106576,296196,50026,579283,6067692
99,Cash at the Beginning of Period,21662,5063,2982,32,- -,9037,- -,11725,106576,296196,50026,579283
100,Free Cash Flow,-24699,-13381,-2950,-32,-418463,-549037,-392000,-152185,-765504,-5713820,-3738768,-4141861
101,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1463208/000146320811000002/0001463208-11-000002-index.html,https://www.sec.gov/Archives/edgar/data/1463208/000146320812000008/0001463208-12-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1463208/000149315214001028/0001493152-14-001028-index.htm,https://www.sec.gov/Archives/edgar/data/1463208/000149315214002051/0001493152-14-002051-index.html,https://www.sec.gov/Archives/edgar/data/1463208/000149315215002705/0001493152-15-002705-index.html,https://www.sec.gov/Archives/edgar/data/1463208/000149315216011846/0001493152-16-011846-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1463208/000149315219005485/0001493152-19-005485-index.htm,https://www.sec.gov/Archives/edgar/data/1463208/000149315220010659/0001493152-20-010659-index.htm,https://www.sec.gov/Archives/edgar/data/1463208/000149315221006283/0001493152-21-006283-index.htm,https://www.sec.gov/Archives/edgar/data/1463208/000149315222008523/0001493152-22-008523-index.htm
102,false,,,,,,,,,,,,
