,https://roic.ai/company/DCUE,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,1810500000,1930800000,2050400000,2552900000,2248300000,2404000000,4132000000,4683000000,3877000000,4600000000,4572000000,5052000000,6483000000,7026000000,4850000000,5425000000,5311000000,5106000000,1757000000,1771000000,1834000000,1946000000,2155000000,2573000000,2703000000,3695000000,3203000000,3387000000
11,COGS and Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,3452900000,3626100000,3737900000,6357200000,4662700000,4209000000,7731000000,8773000000,7333000000,9517000000,11255000000,15602000000,13137000000,13742000000,12622000000,12502000000,11964000000,11518000000,11937000000,9804000000,9715000000,8147000000,8110000000,8456000000,9742000000,12685000000,10073000000,10642000000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,894000000,832000000,869000000,882000000,877000000,1193000000,904000000,1010000000,1205000000,1493000000,1773000000,1377000000,1354000000
14,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,798000000,1268000000,1322000000,1379000000,1334000000,1433000000,1538000000,1739000000,1533000000,1191000000,1319000000,1258000000,1288000000,1443000000,1390000000,1560000000,1669000000,1849000000,2202000000,2280000000,2977000000,2836000000,2768000000
15,EBITDA,319800000,379800000,430500000,438400000,410700000,445700000,459900000,444500000,516600000,649200000,607100000,684600000,632200000,841600000,1353000000,1887000000,2236000000,3422000000,2249000000,3382000000,3153000000,4039000000,5855000000,3904000000,4112000000,6955000000,4310000000,2773000000,4856000000,4515000000,5377000000,5637000000,6376000000,6800000000,6459000000,3895000000,7835000000
16,EBITDA ratio,0.1179,0.1236,0.1324,0.1311,0.1122,0.1262,0.1215,0.1172,0.1165,0.1446,0.1305,0.1414,0.0823,0.1383,0.2451,0.2038,0.2118,0.3349,0.1862,0.2421,0.1748,0.2451,0.3735,0.2397,0.2718,0.4577,0.2997,0.2118,0.3701,0.3631,0.4602,0.4803,0.5066,0.5088,0.3898,0.2748,0.5611
17,Operating Income,- -,- -,- -,- -,- -,- -,- -,- -,- -,1038200000,1025600000,1104400000,1320400000,1423500000,1311000000,1529000000,1785000000,2885000000,2561000000,2717000000,2439000000,3345000000,1932000000,3668000000,2629000000,5700000000,2861000000,1156000000,3316000000,2721000000,3536000000,3627000000,4130000000,3601000000,2514000000,2055000000,3019000000
18,Operating Income ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.2312,0.2205,0.2281,0.1720,0.2339,0.2375,0.1651,0.1691,0.2823,0.2120,0.1945,0.1352,0.2029,0.1233,0.2252,0.1737,0.3751,0.1990,0.0883,0.2527,0.2188,0.3027,0.3090,0.3281,0.2694,0.1517,0.1450,0.2162
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,- -,- -,- -,- -,- -,-389000000,-418500000,-419800000,-688200000,-581900000,-501000000,-931000000,-871000000,-842000000,-1015000000,-753000000,-823000000,-862000000,2556000000,-953000000,-713000000,-663000000,-690000000,-659000000,-612000000,-943000000,-708000000,-760000000,-1040000000,-472000000,-787000000,-644000000,79000000
20,Income Before Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,649200000,607100000,684600000,632200000,841600000,810000000,598000000,914000000,2043000000,1546000000,1964000000,1616000000,2483000000,4488000000,2715000000,1916000000,5037000000,2171000000,497000000,2704000000,1778000000,2828000000,2867000000,3090000000,3129000000,1727000000,1411000000,3098000000
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.1446,0.1305,0.1414,0.0823,0.1383,0.1467,0.0646,0.0866,0.1999,0.1280,0.1406,0.0896,0.1506,0.2863,0.1667,0.1266,0.3314,0.1510,0.0380,0.2061,0.1430,0.2421,0.2443,0.2455,0.2341,0.1042,0.0996,0.2219
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,171000000,182100000,212500000,233000000,306000000,259000000,183000000,370000000,681000000,597000000,700000000,582000000,920000000,1783000000,879000000,612000000,2057000000,745000000,146000000,892000000,452000000,905000000,655000000,-30000000,580000000,351000000,83000000,425000000
23,Net Income,319800000,379800000,430500000,438400000,410700000,445700000,459900000,444500000,516600000,478200000,425000000,472100000,399200000,535600000,296000000,436000000,544000000,1362000000,318000000,1249000000,1033000000,1380000000,2539000000,1834000000,1287000000,2808000000,1408000000,302000000,1697000000,1310000000,1899000000,2123000000,2999000000,2447000000,1358000000,-401000000,3288000000
24,Net Income ratio,0.1179,0.1236,0.1324,0.1311,0.1122,0.1262,0.1215,0.1172,0.1165,0.1065,0.0914,0.0975,0.0520,0.0880,0.0536,0.0471,0.0515,0.1333,0.0263,0.0894,0.0573,0.0837,0.1620,0.1126,0.0851,0.1848,0.0979,0.0231,0.1293,0.1053,0.1625,0.1809,0.2383,0.1831,0.0819,-0.0283,0.2355
25,EPS,0.53,0.63,0.71,0.73,0.68,0.74,0.76,0.74,0.86,0.79,0.71,0.78,0.66,0.89,0.49,0.72,0.90,2.26,0.53,2.07,1.71,2.29,4.21,3.04,2.14,4.66,2.34,0.50,2.82,2.17,3.15,3.52,4.98,4.06,2.25,-0.67,0.24
26,EPS Diluted,0.53,0.63,0.71,0.73,0.68,0.74,0.76,0.74,0.86,0.79,0.71,0.78,0.66,0.89,0.49,0.72,0.90,2.26,0.53,2.07,1.71,2.29,4.21,3.04,2.14,4.66,2.34,0.50,2.82,2.17,3.15,3.52,4.98,4.06,2.25,-0.67,0.24
27,Weighted Average Shares Outstanding,602561967,602561967,602561967,602561967,602561967,602561967,602561967,602561967,602561967,602561967,602561967,602561967,602561967,602561967,602561967,602561967,602561967,602561967,602561967,602561967,602561967,602561967,602561967,602561967,602561967,602561967,602561967,602561967,602561967,602561967,602561967,602561967,602561967,602561967,602561967,602561967,602561967
28,Weighted Average Shares Outstanding Diluted,602561967,602561967,602561967,602561967,602561967,602561967,602561967,602561967,602561967,602561967,602561967,602561967,602561967,602561967,602561967,602561967,602561967,602561967,602561967,602561967,602561967,602561967,602561967,602561967,602561967,602561967,602561967,602561967,602561967,602561967,602561967,602561967,602561967,602561967,602561967,602561967,602561967
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/715957/000156459021008442/0001564590-21-008442-index.htm,https://www.sec.gov/Archives/edgar/data/715957/000156459022006589/0001564590-22-006589-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,291000000,126000000,389000000,146000000,138000000,283000000,66000000,48000000,62000000,102000000,248000000,316000000,318000000,607000000,261000000,120000000,268000000,166000000,172000000,283000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1128000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,291000000,126000000,389000000,146000000,138000000,283000000,66000000,1176000000,62000000,102000000,248000000,316000000,318000000,607000000,261000000,120000000,268000000,166000000,172000000,283000000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3054000000,3919000000,2905000000,3561000000,2753000000,2356000000,2559000000,2180000000,2246000000,2035000000,1717000000,1836000000,1633000000,1369000000,1706000000,1786000000,2080000000,2645000000,2507000000,2568000000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,637000000,870000000,893000000,1167000000,1101000000,1045000000,1166000000,1185000000,1163000000,1348000000,1259000000,1176000000,1410000000,1348000000,1524000000,1477000000,1418000000,1742000000,1550000000,1631000000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2843000000,2266000000,2935000000,5255000000,4106000000,2972000000,3870000000,2276000000,1929000000,1945000000,1916000000,2612000000,2254000000,867000000,757000000,951000000,1395000000,1535000000,2657000000,2787000000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6825000000,7181000000,7122000000,10129000000,8098000000,6656000000,7661000000,6817000000,5400000000,5430000000,5140000000,5940000000,5615000000,4191000000,4248000000,4334000000,5161000000,6088000000,6886000000,7269000000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,20257000000,25850000000,26716000000,28940000000,29382000000,21352000000,23274000000,25592000000,26713000000,29670000000,30773000000,32628000000,36270000000,41554000000,49964000000,53758000000,54560000000,69082000000,57848000000,59774000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3354000000,3141000000,3141000000,3130000000,3086000000,3044000000,3294000000,6399000000,6405000000,6410000000,8946000000,7381000000,7405000000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,693000000,642000000,637000000,536000000,560000000,570000000,570000000,618000000,685000000,670000000,791000000,765000000,784000000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4614000000,4300000000,4298000000,4298000000,4926000000,4094000000,4215000000,4047000000,3783000000,3778000000,3666000000,3646000000,3614000000,3864000000,7017000000,7090000000,7080000000,9737000000,8146000000,8189000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3492000000,3751000000,3844000000,4158000000,5102000000,5561000000,5774000000,6343000000,6964000000,6560000000,8217000000,10238000000,11276000000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6213000000,6855000000,7310000000,9293000000,6863000000,7021000000,6903000000,2606000000,3170000000,2892000000,3101000000,2780000000,3267000000,3414000000,4038000000,4439000000,4553000000,10699000000,12787000000,13082000000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,31084000000,37005000000,38324000000,42531000000,41171000000,32467000000,34392000000,35737000000,37417000000,40184000000,41698000000,44156000000,48712000000,54606000000,67362000000,72251000000,72753000000,97735000000,89019000000,92321000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,37909000000,44186000000,45446000000,52660000000,49269000000,39123000000,42053000000,42554000000,42817000000,45614000000,46838000000,50096000000,54327000000,58797000000,71610000000,76585000000,77914000000,103823000000,95905000000,99590000000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2310000000,2712000000,1984000000,2756000000,2142000000,1734000000,1499000000,1401000000,1562000000,1250000000,1137000000,1168000000,952000000,726000000,1000000000,875000000,914000000,1115000000,944000000,1197000000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3318000000,2704000000,1941000000,3948000000,4810000000,3234000000,2474000000,2432000000,1883000000,3293000000,4635000000,3446000000,4150000000,5335000000,4864000000,6376000000,4031000000,4073000000,3057000000,3155000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2815000000,3451000000,4131000000,7776000000,4277000000,2778000000,3821000000,3000000000,2328000000,2419000000,1991000000,2380000000,2096000000,2059000000,2251000000,2385000000,2702000000,4751000000,6842000000,4321000000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8443000000,8867000000,8056000000,14480000000,11229000000,7746000000,7794000000,6833000000,5773000000,6962000000,7763000000,6994000000,7198000000,8120000000,8115000000,9636000000,7647000000,9939000000,10843000000,8673000000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12060000000,15776000000,15507000000,14653000000,14791000000,13235000000,14956000000,15481000000,15758000000,17394000000,16851000000,19330000000,21805000000,23616000000,30231000000,30948000000,31144000000,33824000000,33957000000,37426000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4209000000,4563000000,5499000000,4926000000,5858000000,4253000000,4137000000,4244000000,4708000000,5216000000,5800000000,7114000000,7444000000,7414000000,8602000000,4523000000,5116000000,6277000000,5953000000,6658000000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4811000000,4581000000,4539000000,5799000000,5016000000,5923000000,6045000000,7822000000,12108000000,11959000000,19750000000,18691000000,19525000000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16269000000,20339000000,21006000000,19579000000,20649000000,17488000000,19093000000,24536000000,25047000000,27149000000,28450000000,31460000000,35172000000,37075000000,46655000000,47579000000,48219000000,59851000000,58601000000,63609000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,35265000000,44863000000,46713000000,47105000000,45753000000,39431000000,43275000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,105000000,- -,- -
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,27439000000,33391000000,33763000000,42006000000,36333000000,29689000000,31976000000,31369000000,30820000000,34111000000,36213000000,38454000000,42370000000,45195000000,54770000000,57215000000,55866000000,69790000000,69444000000,72282000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,257000000,257000000,257000000,257000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2387000000,2387000000,1783000000
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9051000000,10052000000,10888000000,11286000000,- -,- -,- -,- -,- -,- -,5493000000,5783000000,5876000000,6680000000,8550000000,9865000000,12588000000,23824000000,21258000000,21610000000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1561000000,1054000000,1442000000,1550000000,1960000000,3510000000,4170000000,4686000000,6418000000,6697000000,5790000000,6183000000,6095000000,6458000000,6854000000,7936000000,9219000000,7576000000,4189000000,5373000000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-446000000,-629000000,-996000000,-2564000000,-425000000,-12000000,-269000000,-211000000,-330000000,-610000000,-877000000,-324000000,-416000000,-474000000,-799000000,-659000000,-1700000000,-1793000000,-1717000000,-1458000000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,47000000,61000000,92000000,125000000,25169000000,17903000000,18081000000,19943000000,18721000000,18126000000,162000000,- -,- -,- -,- -,- -,- -,- -,- -,- -
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10470000000,10795000000,11683000000,10654000000,12913000000,9406000000,10077000000,11185000000,11997000000,11446000000,10568000000,11642000000,11555000000,12664000000,14605000000,17142000000,20107000000,31994000000,26117000000,27308000000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,37909000000,44186000000,45446000000,52660000000,49246000000,39095000000,42053000000,42554000000,42817000000,45557000000,46781000000,50096000000,53925000000,57859000000,69375000000,74357000000,75973000000,101784000000,95561000000,99590000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,23000000,28000000,- -,- -,- -,57000000,57000000,- -,402000000,938000000,2235000000,2228000000,1941000000,2039000000,344000000,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,37909000000,44186000000,45446000000,52660000000,49269000000,39123000000,42053000000,42554000000,42817000000,45614000000,46838000000,50096000000,54327000000,58797000000,71610000000,76585000000,77914000000,103823000000,95905000000,99590000000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/715957/000156459021008442/0001564590-21-008442-index.htm,https://www.sec.gov/Archives/edgar/data/715957/000156459022006589/0001564590-22-006589-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,- -,- -,- -,- -,- -,478200000,425000000,472100000,399200000,535600000,296000000,436000000,544000000,1362000000,318000000,1249000000,1033000000,1380000000,2539000000,1834000000,1287000000,2808000000,1408000000,302000000,1697000000,1310000000,1899000000,2123000000,2999000000,2447000000,1376000000,-550000000,3314000000
74,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,798000000,1268000000,1322000000,1379000000,1334000000,1433000000,1538000000,1739000000,1533000000,1191000000,1319000000,1258000000,1288000000,1443000000,1390000000,1560000000,1669000000,1849000000,2202000000,2280000000,- -,- -,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,68200000,26400000,84100000,13800000,22500000,64000000,22000000,241000000,714000000,452000000,554000000,64000000,510000000,-1285000000,269000000,-494000000,682000000,756000000,95000000,732000000,449000000,854000000,513000000,-3000000,517000000,216000000,-324000000,487000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,-106400000,147400000,-242800000,198100000,136500000,-283200000,225000000,-559000000,-1166000000,-68000000,752000000,-3417000000,1220000000,2041000000,957000000,117000000,-357000000,-1159000000,-1091000000,1569000000,-529000000,-2346000000,62000000,-1435000000,2816000000,-886000000,-796000000,-2174000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,458000000,-60000000,365000000,292000000,-98000000,131000000,294000000,-286000000,-103000000,-110000000,-71000000,-238000000,-183000000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,-6500000,61100000,6000000,15900000,-24200000,-6000000,-62000000,-170000000,-55000000,-234000000,-24000000,-220000000,3000000,52000000,-116000000,-10000000,35000000,-185000000,33000000,-29000000,-43000000,-26000000,1000000,15000000,-29000000,-90000000,39000000,-74000000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-156000000,119000000,-413000000,-61000000,50000000,-202000000,-199000000,97000000,-89000000,67000000,-225000000,35000000,156000000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,-74000000,73400000,-169400000,28700000,165200000,-118000000,107000000,-452000000,-1618000000,-1686000000,-934000000,-4351000000,-3131000000,-1090000000,-133000000,-16000000,-373000000,-1532000000,-2623000000,-1054000000,-1583000000,-3929000000,-3867000000,-5302000000,-2486000000,-197000000,-586000000,-2094000000
82,Other Non-Cash Items,- -,- -,- -,- -,- -,- -,- -,- -,- -,551800000,572500000,718800000,651100000,512200000,380200000,-608000000,866000000,159000000,319000000,-1149000000,3405000000,-844000000,-5074000000,-1592000000,1557000000,-2566000000,690000000,3388000000,-1955000000,649000000,2399000000,-420000000,786000000,-3287000000,4498000000,6897000000,2410000000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,- -,- -,- -,- -,- -,991800000,1171300000,1032200000,1262200000,1206800000,1255000000,1343000000,2414000000,2448000000,2355000000,2839000000,2623000000,4005000000,-246000000,2659000000,3786000000,1825000000,2983000000,4137000000,3433000000,3439000000,4475000000,4127000000,4549000000,4773000000,5204000000,5227000000,4037000000
84,CAPEX,- -,- -,- -,- -,- -,- -,- -,- -,- -,-660900000,-577500000,-484000000,-773100000,-703700000,-804000000,-1738000000,-2168000000,-2828000000,-3438000000,-2750000000,-3358000000,-4052000000,-3972000000,-3554000000,-3837000000,-3422000000,-3652000000,-4145000000,-4104000000,-5345000000,-5575000000,-6085000000,-5504000000,-4254000000,-4980000000,-6020000000,-5960000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,-60400000,-128500000,-290700000,-2098600000,-469500000,-324000000,-2779000000,-2215000000,-410000000,- -,- -,-877000000,-91000000,13877000000,-21000000,-43000000,4191000000,- -,115000000,625000000,66000000,-915000000,-4421000000,-547000000,-543000000,-541000000,3050000000,400000000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-351300000,-8500000,-143400000,-53000000,-235000000,-104000000,- -,-777000000,-490000000,-854000000,- -,-1355000000,-1355000000,-1511000000,-2853000000,-1828000000,-1392000000,-1493000000,-1241000000,-1326000000,-1504000000,-1940000000,-1894000000,-1749000000,-4379000000,-3939000000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,127700000,70000000,35000000,137000000,30000000,54000000,- -,- -,- -,- -,1285000000,1394000000,1478000000,2814000000,1757000000,1356000000,1476000000,1235000000,1340000000,1422000000,1831000000,1804000000,1712000000,4278000000,3985000000
