,https://roic.ai/company/BERY,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
36,Other Current Assets,- -,92000000,156000000,171000000,208000000,199000000,105000000,89000000,76000000,157000000,330000000,217000000
37,Total Current Assets,- -,1255000000,1233000000,1337000000,1432000000,1383000000,1792000000,2004000000,2285000000,3757000000,3817000000,5094000000
38,PP&E,- -,1250000000,1216000000,1266000000,1364000000,1294000000,2224000000,2366000000,2488000000,4714000000,5123000000,5239000000
39,Goodwill,- -,1595000000,1626000000,1634000000,1659000000,1652000000,2406000000,2775000000,2944000000,5051000000,5173000000,5192000000
40,Intangible Assets,- -,1044000000,957000000,856000000,792000000,694000000,1200000000,1286000000,1340000000,2780000000,2497000000,2242000000
41,Intangible Assets,- -,2639000000,2583000000,2490000000,2451000000,2346000000,3606000000,4061000000,4284000000,7831000000,7670000000,7434000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,365000000,803000000,- -,- -
44,Other Non-Current Assets,- -,73000000,74000000,42000000,21000000,6000000,31000000,45000000,-291000000,-636000000,91000000,115000000
45,Total Non-Current Assets,- -,3962000000,3873000000,3798000000,3836000000,3646000000,5861000000,6472000000,6846000000,12712000000,12884000000,12788000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,5217000000,5106000000,5135000000,5268000000,5028000000,7653000000,8476000000,9131000000,16469000000,16701000000,17882000000
48,Accounts Payable,- -,352000000,306000000,337000000,395000000,330000000,539000000,638000000,783000000,1159000000,1115000000,2041000000
49,Short-Term Debt,- -,46000000,40000000,71000000,58000000,37000000,43000000,33000000,38000000,104000000,75000000,21000000
50,Tax Payable,- -,- -,- -,- -,- -,13000000,40000000,90000000,72000000,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,365000000,365000000,- -,- -
52,Other Current Liabilities,- -,286000000,300000000,276000000,314000000,338000000,449000000,463000000,51000000,411000000,993000000,1124000000
53,Total Current Liabilities,- -,684000000,646000000,684000000,767000000,705000000,1031000000,1134000000,1237000000,2039000000,2183000000,3186000000
54,Long-Term Debt,- -,4581000000,4431000000,3875000000,3860000000,3648000000,5712000000,5608000000,5806000000,11261000000,10162000000,9905000000
55,Deferred Revenue,- -,- -,34000000,32000000,30000000,28000000,26000000,24000000,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,233000000,315000000,385000000,386000000,387000000,272000000,419000000,365000000,803000000,601000000,568000000
57,Other Non-Current Liabilities,- -,186000000,155000000,355000000,339000000,325000000,391000000,276000000,292000000,748000000,1663000000,1043000000
58,Total Non-Current Liabilities,- -,5000000000,4935000000,4647000000,4615000000,4388000000,6401000000,6327000000,6463000000,12812000000,12426000000,11516000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,464000000,466000000
61,Total Liabilities,- -,5684000000,5581000000,5331000000,5382000000,5093000000,7432000000,7461000000,7700000000,14851000000,14609000000,14702000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000
64,Retained Earnings,- -,-563000000,-561000000,-504000000,-442000000,-356000000,-84000000,256000000,719000000,1054000000,1608000000,2341000000
65,Other Comprehensive Income/Loss,- -,-48000000,-47000000,-18000000,-43000000,-119000000,-148000000,-68000000,-156000000,-386000000,-551000000,-296000000
66,Other Total Stockholders Equity,- -,140000000,129000000,- -,- -,- -,- -,823000000,867000000,949000000,1034000000,- -
67,Total Stockholders Equity,- -,-470000000,-478000000,-199000000,-117000000,-68000000,218000000,1012000000,1431000000,1618000000,2092000000,3180000000
68,Total Liabilities And Stockholders Equity,- -,5214000000,5103000000,5132000000,5265000000,5025000000,7650000000,8473000000,9131000000,16469000000,16701000000,17882000000
69,Minority Interest,- -,3000000,3000000,3000000,3000000,3000000,3000000,3000000,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,5217000000,5106000000,5135000000,5268000000,5028000000,7653000000,8476000000,9131000000,16469000000,16701000000,17882000000
71,SEC Link,undefined,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1378992/000137899217000028/0001378992-17-000028-index.html,https://www.sec.gov/Archives/edgar/data/1378992/000137899218000039/0001378992-18-000039-index.html,https://www.sec.gov/Archives/edgar/data/1378992/000114036119021238/0001140361-19-021238-index.html,https://www.sec.gov/Archives/edgar/data/1378992/000114036120026326/0001140361-20-026326-index.htm,https://www.sec.gov/Archives/edgar/data/1378992/000114036121038583/0001140361-21-038583-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , 
73,Net Income,-113000000,-299000000,2000000,57000000,62000000,86000000,236000000,340000000,496000000,404000000,559000000,733000000
74,Depreciation and Amortization,317000000,344000000,355000000,341000000,358000000,350000000,525000000,521000000,538000000,613000000,845000000,854000000
75,Deferred Income Tax,-52000000,-51000000,1000000,22000000,-4000000,26000000,31000000,5000000,-86000000,-52000000,-96000000,-73000000
76,Stock Based Compensation,- -,2000000,- -,16000000,15000000,21000000,20000000,20000000,23000000,27000000,33000000,40000000
77,Change in Working Capital,-64000000,16000000,66000000,12000000,13000000,83000000,109000000,178000000,670000000,-84000000,274000000,-55000000
78,Accounts Receivable,-41000000,-11000000,95000000,3000000,5000000,46000000,-34000000,-41000000,-53000000,150000000,49000000,-331000000
79,Inventory,-118000000,59000000,37000000,-43000000,19000000,74000000,9000000,10000000,-79000000,99000000,48000000,-639000000
80,Accounts Payable,83000000,-22000000,-53000000,-41000000,30000000,-60000000,49000000,59000000,97000000,-35000000,24000000,945000000
81,Other Working Capital,571000000,587000000,653000000,665000000,678000000,761000000,870000000,1048000000,1718000000,1634000000,1908000000,- -
82,Other Non-Cash Items,24000000,315000000,55000000,16000000,86000000,71000000,-64000000,-89000000,-637000000,293000000,-85000000,81000000
83,Cash Provided by Operating Activities,112000000,327000000,479000000,464000000,530000000,637000000,857000000,975000000,1004000000,1201000000,1530000000,1580000000
84,CAPEX,-223000000,-160000000,-230000000,-239000000,-215000000,-180000000,-288000000,-269000000,-336000000,-399000000,-583000000,-676000000
85,Acquisitions Net,-658000000,-368000000,-55000000,-24000000,-226000000,-3000000,-2283000000,-515000000,-702000000,-5753000000,-14000000,165000000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,281000000,- -
88,Other Investing Activites,29000000,5000000,30000000,18000000,19000000,18000000,-8000000,10000000,3000000,-99000000,- -,- -
89,Cash Used for Investing Activites,-852000000,-523000000,-255000000,-245000000,-422000000,-165000000,-2579000000,-774000000,-1035000000,-6251000000,-316000000,-511000000
90,Debt Repayment,-178000000,-880000000,-175000000,-1978000000,-1687000000,-951000000,-524000000,-636000000,-335000000,-1214000000,-2436000000,-3496000000
91,Common Stock Issued,- -,- -,- -,465000000,17000000,18000000,26000000,31000000,23000000,55000000,30000000,60000000
92,Common Stock Repurchased,-3000000,-2000000,-6000000,- -,- -,- -,- -,- -,-33000000,-74000000,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,1059000000,972000000,2000000,1349000000,1551000000,568000000,2315000000,379000000,458000000,6659000000,1186000000,2695000000
95,Cash Used/Provided by Financing Activities,878000000,90000000,-179000000,-164000000,-119000000,-365000000,1817000000,-226000000,113000000,5426000000,-1220000000,-741000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,-2000000,-8000000,- -,8000000,-7000000,-7000000,6000000,13000000
97,Net Change In Cash,138000000,-106000000,45000000,55000000,-13000000,99000000,95000000,-17000000,75000000,369000000,- -,341000000
98,Cash at the End of Period,148000000,42000000,87000000,142000000,129000000,228000000,323000000,306000000,381000000,750000000,750000000,1091000000
99,Cash at the Beginning of Period,10000000,148000000,42000000,87000000,142000000,129000000,228000000,323000000,306000000,381000000,750000000,750000000
100,Free Cash Flow,-111000000,167000000,249000000,225000000,315000000,457000000,569000000,706000000,668000000,802000000,947000000,904000000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1378992/000137899217000028/0001378992-17-000028-index.html,https://www.sec.gov/Archives/edgar/data/1378992/000137899218000039/0001378992-18-000039-index.html,https://www.sec.gov/Archives/edgar/data/1378992/000114036119021238/0001140361-19-021238-index.html,https://www.sec.gov/Archives/edgar/data/1378992/000114036120026326/0001140361-20-026326-index.htm,https://www.sec.gov/Archives/edgar/data/1378992/000114036121038583/0001140361-21-038583-index.htm
102,false,,,,,,,,,,,,
