,https://roic.ai/company/KHC,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
71,SEC Link,undefined,- -,- -,- -,- -,undefined,https://www.sec.gov/Archives/edgar/data/1637459/000163745917000007/0001637459-17-000007-index.html,https://www.sec.gov/Archives/edgar/data/1637459/000163745918000015/0001637459-18-000015-index.html,https://www.sec.gov/Archives/edgar/data/1637459/000163745919000049/form10-k2018.htm,https://www.sec.gov/Archives/edgar/data/1637459/000163745920000027/0001637459-20-000027-index.html,https://www.sec.gov/Archives/edgar/data/1637459/000163745921000009/0001637459-21-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1637459/000163745922000018/0001637459-22-000018-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , 
73,Net Income,3534000000,1839000000,1642000000,2715000000,1043000000,- -,3632000000,10941000000,-10192000000,1935000000,356000000,1012000000
74,Depreciation and Amortization,354000000,364000000,428000000,393000000,385000000,- -,1337000000,1036000000,983000000,994000000,969000000,910000000
75,Deferred Income Tax,-74000000,69000000,470000000,708000000,-361000000,- -,-29000000,-6467000000,-1967000000,-293000000,-343000000,-1042000000
76,Stock Based Compensation,49000000,51000000,54000000,65000000,95000000,- -,46000000,46000000,33000000,46000000,156000000,197000000
77,Change in Working Capital,-1499000000,711000000,517000000,281000000,-1480000000,- -,-3596000000,-2205000000,4525000000,-1350000000,2539000000,406000000
78,Accounts Receivable,-80000000,- -,220000000,35000000,-22000000,- -,534000000,-2629000000,-2280000000,140000000,-26000000,87000000
79,Inventory,-69000000,-169000000,21000000,235000000,-53000000,- -,-130000000,-251000000,-251000000,-277000000,-266000000,-144000000
80,Accounts Payable,-5000000,226000000,-241000000,45000000,45000000,- -,943000000,464000000,-23000000,-58000000,207000000,408000000
81,Other Working Capital,-11000000,700000000,1217000000,1498000000,18000000,- -,-748000000,-2953000000,1572000000,222000000,2761000000,- -
82,Other Non-Cash Items,-1536000000,-370000000,-76000000,-2119000000,2338000000,- -,3848000000,-2824000000,9192000000,2220000000,1252000000,3881000000
83,Cash Provided by Operating Activities,828000000,2664000000,3035000000,2043000000,2020000000,- -,5238000000,527000000,2574000000,3552000000,4929000000,5364000000
84,CAPEX,-448000000,-401000000,-440000000,-557000000,-535000000,- -,-1247000000,-1217000000,-826000000,-768000000,-596000000,-905000000
85,Acquisitions Net,3698000000,- -,- -,- -,- -,- -,- -,- -,-248000000,1676000000,- -,4940000000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-28000000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,91000000,6000000,- -,590000000,25000000,- -
88,Other Investing Activites,-448000000,-401000000,-422000000,-426000000,-535000000,- -,-1204000000,1150000000,536000000,-755000000,-547000000,-874000000
89,Cash Used for Investing Activites,3250000000,-401000000,-422000000,-426000000,-535000000,- -,-1113000000,1156000000,288000000,1511000000,-522000000,4038000000
90,Debt Repayment,-9000000,-9000000,-8000000,-4000000,- -,- -,-6129000000,-8893000000,-5926000000,-5352000000,-8697000000,-6202000000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,-740000000,- -,-8320000000,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,-1207000000,-1266000000,- -,-3764000000,-2888000000,-3183000000,-1953000000,-1958000000,-1959000000
94,Other Financing Activites,-4069000000,-2256000000,-1350000000,40000000,140000000,- -,13592000000,7555000000,5746000000,3392000000,7324000000,-1183000000
95,Cash Used/Provided by Financing Activities,-4078000000,-2265000000,-1358000000,-1171000000,-1866000000,- -,-4621000000,-4226000000,-3363000000,-3913000000,-3331000000,-9344000000
96,Effect of Forex Changes on Cash,- -,- -,- -,-15000000,-12000000,- -,-137000000,57000000,-132000000,-6000000,62000000,-30000000
97,Net Change In Cash,- -,-2265000000,-1358000000,431000000,-393000000,- -,-633000000,-2486000000,-633000000,1144000000,1138000000,28000000
98,Cash at the End of Period,2000000,- -,1255000000,1686000000,1293000000,- -,4204000000,1769000000,1136000000,2280000000,3418000000,3446000000
99,Cash at the Beginning of Period,2000000,2000000,- -,1255000000,1686000000,- -,4837000000,4255000000,1769000000,1136000000,2280000000,3418000000
100,Free Cash Flow,380000000,2263000000,2595000000,1486000000,1485000000,- -,3991000000,-690000000,1748000000,2784000000,4333000000,4459000000
101,SEC Link,- -,- -,- -,- -,- -,undefined,https://www.sec.gov/Archives/edgar/data/1637459/000163745917000007/0001637459-17-000007-index.html,https://www.sec.gov/Archives/edgar/data/1637459/000163745918000015/0001637459-18-000015-index.html,https://www.sec.gov/Archives/edgar/data/1637459/000163745919000049/form10-k2018.htm,https://www.sec.gov/Archives/edgar/data/1637459/000163745920000027/0001637459-20-000027-index.html,https://www.sec.gov/Archives/edgar/data/1637459/000163745921000009/0001637459-21-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1637459/000163745922000018/0001637459-22-000018-index.htm
102,false,,,,,,,,,,,,
