,https://roic.ai/company/SE,2014,2015,2016,2017,2018,2019,2020
42,Investments,11334000,41410000,45072000,28216000,111022000,113797000,190482000
43,Tax Assets,31858000,33374000,35295000,48104000,63302000,70340000,99904000
44,Other Non-Current Assets,27805000,41658000,34438000,48614000,71436000,82336000,349274000
45,Total Non-Current Assets,124006000,200175000,175891000,267567000,481956000,814030000,1516667000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,280067000,429870000,485775000,1988280000,2192669000,5224169000,10455671000
48,Accounts Payable,5335000,8904000,5990000,8644000,37163000,69370000,121637000
49,Short-Term Debt,1574000,- -,1858000,2013000,856000,30739000,- -
50,Tax Payable,- -,- -,- -,- -,- -,5850000,- -
51,Deferred Revenue,159188000,180202000,137677000,295396000,456030000,1162930000,2311544000
52,Other Current Liabilities,42810000,55239000,118231000,331652000,692444000,1099327000,2202886000
53,Total Current Liabilities,208907000,244345000,263756000,637705000,1186493000,2362366000,4636067000
54,Long-Term Debt,- -,- -,- -,726950000,1062822000,1356690000,1840406000
55,Deferred Revenue,87503000,89120000,137259000,133481000,171262000,160708000,343297000
56,Deferred Tax Liabilities,17000,668000,- -,4378000,679000,975000,1526000
57,Other Non-Current Liabilities,12903000,22039000,210410000,10635000,10868000,170778000,214136000
58,Total Non-Current Liabilities,100423000,111827000,347669000,875444000,1245631000,1689151000,2399365000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,207582000,252513000
61,Total Liabilities,309330000,356172000,611425000,1513149000,2432124000,4051517000,7035432000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,75000,87000,88000,167000,170000,230000,255000
64,Retained Earnings,-178743000,-282126000,-505006000,-1106545000,-2067786000,-3530585000,-5150958000
65,Other Comprehensive Income/Loss,-17998000,7000000,9000000,11000000,15000000,5000000,- -
66,Other Total Stockholders Equity,165507000,346694000,370248000,1564403000,1809477000,4687779000,8533615000
67,Total Stockholders Equity,-31159000,71655000,-125670000,469025000,-243139000,1162424000,3382912000
68,Total Liabilities And Stockholders Equity,278171000,427827000,485755000,1982174000,2188985000,5213941000,10418344000
69,Minority Interest,1896000,2043000,20000,6106000,3684000,10228000,37327000
70,Total Liabilities & Equity,280067000,429870000,485775000,1988280000,2192669000,5224169000,10455671000
71,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1703399/000119312518113294/d414468d20f.htm,https://www.sec.gov/Archives/edgar/data/1703399/000114420419011639/0001144204-19-011639-index.html,https://www.sec.gov/Archives/edgar/data/1703399/000114036120008832/0001140361-20-008832-index.htm,https://www.sec.gov/Archives/edgar/data/1703399/000114036121013089/0001140361-21-013089-index.htm
72,CASH FLOW STATEMENT, , , , , , , 
73,Net Income,-88383000,-103366000,-222867000,-560485000,-961241000,-1462799000,-1618056000
74,Depreciation and Amortization,18384000,29261000,39554000,40922000,78728000,121632000,- -
75,Deferred Income Tax,-10981000,-2324000,-2231000,-6419000,-19797000,-6157000,- -
76,Stock Based Compensation,4048000,20564000,28841000,28636000,58121000,117069000,- -
77,Change in Working Capital,77745000,19163000,17517000,134819000,372812000,782063000,1526165000
78,Accounts Receivable,-1844000,-10866000,4659000,-24547000,-38524000,-86546000,- -
79,Inventory,-1252000,-2918000,93000,-5970000,-28465000,11762000,- -
80,Accounts Payable,-958000,4291000,-3052000,1822000,29733000,31381000,- -
81,Other Working Capital,67652000,30307000,-9018000,60067000,206888000,680238000,- -
82,Other Non-Cash Items,1645000,11605000,24460000,28297000,-23843000,518057000,647759000
83,Cash Provided by Operating Activities,2458000,-25097000,-114726000,-334230000,-495220000,69865000,555868000
84,CAPEX,-41593000,-76668000,-24539000,-79746000,-178485000,-239844000,- -
85,Acquisitions Net,- -,- -,- -,-18000000,- -,- -,- -
86,Purchases of Investments,-9658000,-52083000,-19936000,-23428000,-69641000,-118462000,- -
87,Sales/Maturities of Investments,- -,- -,18500000,- -,22685000,640000,- -
88,Other Investing Activites,-22200000,-51521000,-11518000,-9825000,-229000,-5553000,-886912000
89,Cash Used for Investing Activites,-51203000,-129442000,-29931000,-118614000,-224528000,-363219000,-886912000
90,Debt Repayment,-10000000,-1520000,-2492000,-3888000,-2698000,-2871000,- -
91,Common Stock Issued,118555000,185044000,3210000,960924000,4574000,1538802000,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,4533000,4292000,198904000,666807000,544752000,1043664000,3733132000
95,Cash Used/Provided by Financing Activities,113088000,187816000,199622000,1623843000,546628000,2579595000,3733132000
96,Effect of Forex Changes on Cash,-633000,-3070000,-1090000,6284000,-12546000,25025000,80727000
97,Net Change In Cash,63710000,30207000,53875000,1177283000,-185666000,2311266000,3482815000
98,Cash at the End of Period,85996000,116203000,170078000,1347361000,1259312000,3570578000,7053393000
99,Cash at the Beginning of Period,22286000,85996000,116203000,170078000,1444978000,1259312000,3570578000
100,Free Cash Flow,-39135000,-101765000,-139265000,-413976000,-673705000,-177233000,555868000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1703399/000119312518113294/d414468d20f.htm,https://www.sec.gov/Archives/edgar/data/1703399/000114420419011639/0001144204-19-011639-index.html,https://www.sec.gov/Archives/edgar/data/1703399/000114036120008832/0001140361-20-008832-index.htm,https://www.sec.gov/Archives/edgar/data/1703399/000114036121013089/0001140361-21-013089-index.htm
102,false,,,,,,,
