,https://roic.ai/company/BTAI,2016,2017,2018,2019,2020,2021
69,Minority Interest,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,7000,1355000,43549000,36392000,219936000,239439000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1720893/000155837019001798/0001558370-19-001798-index.htm,https://www.sec.gov/Archives/edgar/data/1720893/000155837020002196/0001558370-20-002196-index.htm,https://www.sec.gov/Archives/edgar/data/1720893/000155837021002916/0001558370-21-002916-index.htm,https://www.sec.gov/Archives/edgar/data/1720893/000155837022003335/0001558370-22-003335-index.htm
72,CASH FLOW STATEMENT, , , , , , 
73,Net Income,-2120000,-4539000,-19270000,-32968000,-82169000,- -
74,Depreciation and Amortization,- -,1000,17000,156000,188000,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,671000,1606000,3082000,3142000,14611000,- -
77,Change in Working Capital,155000,-1118000,39958000,-12872000,179584000,14922000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -
80,Accounts Payable,156000,737000,3201000,3580000,3033000,- -
81,Other Working Capital,-329000,-1447000,38511000,25639000,205223000,220145000
82,Other Non-Cash Items,- -,1854000,-37296000,15262000,-178564000,-14922000
83,Cash Provided by Operating Activities,-1294000,-2196000,-13509000,-27280000,-66350000,- -
84,CAPEX,-4000,- -,-340000,-870000,-316000,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,-4000,- -,-340000,-870000,-316000,- -
90,Debt Repayment,- -,- -,-371000,- -,- -,- -
91,Common Stock Issued,- -,2061000,56513000,17810000,255785000,- -
92,Common Stock Repurchased,- -,- -,- -,- -,-9024000,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,1298000,1022000,-615000,201000,598000,- -
95,Cash Used/Provided by Financing Activities,1298000,3083000,55527000,18011000,247359000,- -
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,1298000,3083000,41678000,-10139000,180693000,- -
98,Cash at the End of Period,- -,887000,42565000,32426000,213119000,- -
99,Cash at the Beginning of Period,- -,- -,887000,42565000,32426000,213119000
100,Free Cash Flow,-1298000,-2196000,-13849000,-28150000,-66666000,- -
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1720893/000155837019001798/0001558370-19-001798-index.htm,https://www.sec.gov/Archives/edgar/data/1720893/000155837020002196/0001558370-20-002196-index.htm,https://www.sec.gov/Archives/edgar/data/1720893/000155837021002916/0001558370-21-002916-index.htm,https://www.sec.gov/Archives/edgar/data/1720893/000155837022003335/0001558370-22-003335-index.htm
102,false,,,,,,
