,https://roic.ai/company/ESRT,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
25,EPS,0.58,0.46,0.50,0.66,0.53,0.86,0.27,0.30,0.38,0.40,0.39,0.28,-0.10,-0.04
26,EPS Diluted,0.58,0.46,0.50,0.66,0.53,0.86,0.27,0.29,0.38,0.39,0.39,0.28,-0.10,-0.04
27,Weighted Average Shares Outstanding,91655000,91655000,91655000,91655000,91655000,95606000,97941000,114245000,133881000,158380000,167571000,178340000,175169000,171970000
28,Weighted Average Shares Outstanding Diluted,91655000,91655000,91655000,91655000,91655000,95606000,254506000,266621000,277568000,298049000,297259000,297798000,283837000,171970000
29,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1541401/000144530514001129/0001445305-14-001129-index.htm,https://www.sec.gov/Archives/edgar/data/1541401/000162828015001139/0001628280-15-001139-index.htm,https://www.sec.gov/Archives/edgar/data/1541401/000162828016011758/0001628280-16-011758-index.htm,https://www.sec.gov/Archives/edgar/data/1541401/000162828017001760/0001628280-17-001760-index.htm,https://www.sec.gov/Archives/edgar/data/1541401/000162828018002431/0001628280-18-002431-index.htm,https://www.sec.gov/Archives/edgar/data/1541401/000162828019002205/0001628280-19-002205-index.htm,https://www.sec.gov/Archives/edgar/data/1541401/000162828020002550/0001628280-20-002550-index.htm,https://www.sec.gov/Archives/edgar/data/1541401/000162828021003417/0001628280-21-003417-index.htm,https://www.sec.gov/Archives/edgar/data/1541401/000162828022003942/0001628280-22-003942-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,94087000,88031000,86316000,51499000,60743000,45732000,46685000,554371000,464344000,204981000,233946000,526714000,423695000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,400000000,- -,- -,- -
33,Cash and Short-Term Investments,- -,94087000,88031000,86316000,51499000,60743000,45732000,46685000,554371000,464344000,604981000,233946000,526714000,423695000
34,Net Receivables,- -,8869000,10985000,53001000,104941000,87506000,125849000,140830000,174616000,206958000,230340000,246383000,244049000,243569000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,95453000,90294000,88850000,44769000,91028000,108777000,116340000,115263000,126881000,130177000,103104000,118407000,127492000
37,Total Current Assets,- -,198409000,189310000,228167000,201209000,239277000,280358000,303855000,844250000,798183000,965498000,583433000,889170000,794756000
38,PP&E,- -,582904000,590466000,632132000,- -,- -,- -,- -,- -,- -,- -,29307000,29104000,28892000
39,Goodwill,- -,- -,- -,- -,- -,491479000,491479000,491479000,491479000,491479000,491479000,491479000,491479000,491479000
40,Intangible Assets,- -,- -,- -,- -,- -,312295000,682135000,383891000,376060000,368229000,360398000,352566000,344735000,336904000
41,Intangible Assets,- -,- -,- -,- -,- -,803774000,1173614000,875370000,867539000,859708000,851877000,844045000,836214000,828383000
42,Investments,- -,69887000,81744000,72626000,76879000,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,39398000,43016000,75698000,774465000,1433010000,1842523000,2121425000,2179164000,2273456000,2378405000,2475049000,2396207000,2630416000
45,Total Non-Current Assets,- -,692189000,715226000,780456000,851344000,2236784000,3016137000,2996795000,3046703000,3133164000,3230282000,3348401000,3261525000,3487691000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,890598000,904536000,1008623000,1052553000,2476061000,3296495000,3300650000,3890953000,3931347000,4195780000,3931834000,4150695000,4282447000
48,Accounts Payable,- -,9510000,19758000,25307000,24711000,57657000,68488000,83352000,102866000,32509000,34585000,35084000,32309000,41664000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,7428000,7544000,5881000,7390000,- -,- -,- -,- -,- -,- -,- -,88319000,84358000
52,Other Current Liabilities,- -,3217000,3194000,16579000,17963000,24251000,28075000,25825000,25607000,77904000,90848000,95372000,-26274000,53838000
53,Total Current Liabilities,- -,20155000,30496000,47767000,50064000,81908000,96563000,109177000,128473000,110413000,125433000,130456000,94354000,179860000
54,Long-Term Debt,- -,871636000,869063000,939705000,996489000,1208112000,1611652000,1632416000,1612331000,1688721000,1918933000,1668574000,2136649000,2339257000
55,Deferred Revenue,- -,- -,- -,- -,7390000,21568000,27876000,31388000,32212000,40907000,44810000,72015000,88319000,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,17065000,15735000,16205000,9469000,161288000,179307000,154983000,135074000,113569000,115495000,112876000,100066000,78998000
58,Total Non-Current Liabilities,- -,888701000,884798000,955910000,1013348000,1390968000,1818835000,1818787000,1779617000,1843197000,2079238000,1853465000,2325034000,2418255000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,29307000,29104000,28892000
61,Total Liabilities,- -,908856000,915294000,1003677000,1063412000,1472876000,1915398000,1927964000,1908090000,1953610000,2204671000,1983921000,2419388000,2598115000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,8004000,8004000,8004000,8004000,8004000,29151000,29940000,- -
63,Common Stock,- -,- -,- -,- -,- -,956000,1072000,1200000,1558000,1615000,1749000,1819000,1715000,1702000
64,Retained Earnings,- -,- -,- -,- -,- -,67644000,60713000,55260000,50904000,46762000,41511000,15764000,-65673000,-133610000
65,Other Comprehensive Income/Loss,- -,-185829000,-205542000,-224019000,- -,- -,- -,-883000,-2789000,-8555000,-8853000,-21496000,-28320000,-20848000
66,Other Total Stockholders Equity,- -,167571000,194784000,228965000,- -,316558000,406853000,469152000,1104463000,1128460000,1204075000,1232433000,1147527000,1150884000
67,Total Stockholders Equity,- -,-18258000,-10758000,4946000,-10859000,385158000,476642000,532733000,1162140000,1176286000,1246486000,1257671000,1085189000,998128000
68,Total Liabilities And Stockholders Equity,- -,890598000,904536000,1008623000,1052553000,1858034000,2392040000,2460697000,3070230000,3129896000,3451157000,3241592000,3504577000,3596243000
69,Minority Interest,- -,- -,- -,- -,- -,618027000,904455000,839953000,820723000,801451000,744623000,690242000,646118000,686204000
70,Total Liabilities & Equity,- -,890598000,904536000,1008623000,1052553000,2476061000,3296495000,3300650000,3890953000,3931347000,4195780000,3931834000,4150695000,4282447000
71,SEC Link,undefined,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1541401/000144530514001129/0001445305-14-001129-index.htm,https://www.sec.gov/Archives/edgar/data/1541401/000162828015001139/0001628280-15-001139-index.htm,https://www.sec.gov/Archives/edgar/data/1541401/000162828016011758/0001628280-16-011758-index.htm,https://www.sec.gov/Archives/edgar/data/1541401/000162828017001760/0001628280-17-001760-index.htm,https://www.sec.gov/Archives/edgar/data/1541401/000162828018002431/0001628280-18-002431-index.htm,https://www.sec.gov/Archives/edgar/data/1541401/000162828019002205/0001628280-19-002205-index.htm,https://www.sec.gov/Archives/edgar/data/1541401/000162828020002550/0001628280-20-002550-index.htm,https://www.sec.gov/Archives/edgar/data/1541401/000162828021003417/0001628280-21-003417-index.htm,https://www.sec.gov/Archives/edgar/data/1541401/000162828022003942/0001628280-22-003942-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , 
73,Net Income,52720000,41837000,46118000,60242000,48643000,82527000,27143000,34666000,52392000,63583000,66539000,51188000,-12515000,-6510000
74,Depreciation and Amortization,28162000,30860000,36025000,38760000,47571000,70956000,145431000,171474000,155211000,160710000,168508000,181588000,191006000,209637000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,3720000,5483000,9729000,14100000,18785000,20857000,25495000,20260000
77,Change in Working Capital,-129000,181331000,-19440000,21586000,-29255000,6224000,26426000,10883000,521099000,-28007000,152295000,-387088000,341839000,3801000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3881000,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,1893000,15427000,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,-3077000,178254000,158814000,180400000,151145000,157369000,183795000,194678000,715777000,687770000,840065000,452977000,794816000,-3756000
82,Other Non-Cash Items,-5343000,-195519000,11678000,-70061000,27394000,-229613000,-64162000,-19319000,-519848000,-18931000,-127105000,366046000,-363532000,-14702000
83,Cash Provided by Operating Activities,75410000,58509000,74381000,50527000,94353000,-69906000,138558000,203187000,218583000,191455000,279022000,232591000,182293000,212486000
84,CAPEX,-5930000,-40179000,-12190000,-60582000,- -,-675913000,-308402000,-142197000,-182376000,-223013000,-243023000,-250256000,- -,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-400000000,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-7838000,1562000,-22647000,55000,-108281000,-844000,9345000,-119000,538000,-1592000,- -,400000000,- -,-212742000
89,Cash Used for Investing Activites,-13768000,-38617000,-34837000,-60527000,-108281000,-676757000,-299057000,-142316000,-181838000,-224605000,-643023000,149744000,-143118000,-212742000
90,Debt Repayment,-6707000,-8126000,-9776000,-105554000,-12212000,-350639000,-638908000,-1231918000,-122305000,-611615000,-266613000,-253790000,-603938000,-4091000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,611206000,- -,4749000,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-143713000,-46704000
93,Dividends Paid,-67410000,-48826000,-40674000,-46691000,-62903000,-162713000,-34074000,-40119000,-56748000,-67725000,-71790000,-76935000,-41378000,-22311000
94,Other Financing Activites,8293000,51917000,4850000,160530000,54226000,1257899000,818470000,1212119000,38788000,622463000,438271000,-50826000,1046196000,-19939000
95,Cash Used/Provided by Financing Activities,-65824000,-5035000,-45600000,8285000,-20889000,744547000,145488000,-59918000,470941000,-56877000,104617000,-381551000,257167000,-93045000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-4182000,14857000,-6056000,-1715000,-34817000,9244000,-15011000,953000,507686000,-90027000,-259384000,784000,296342000,-93301000
98,Cash at the End of Period,79230000,94087000,88031000,86316000,51499000,60743000,45732000,46685000,554371000,464344000,270813000,271597000,567939000,474638000
99,Cash at the Beginning of Period,83412000,79230000,94087000,88031000,86316000,51499000,60743000,45732000,46685000,554371000,530197000,270813000,271597000,567939000
100,Free Cash Flow,69480000,18330000,62191000,-10055000,94353000,-69906000,138558000,203187000,218583000,191455000,279022000,232591000,182293000,212486000
101,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1541401/000144530514001129/0001445305-14-001129-index.htm,https://www.sec.gov/Archives/edgar/data/1541401/000162828015001139/0001628280-15-001139-index.htm,https://www.sec.gov/Archives/edgar/data/1541401/000162828016011758/0001628280-16-011758-index.htm,https://www.sec.gov/Archives/edgar/data/1541401/000162828017001760/0001628280-17-001760-index.htm,https://www.sec.gov/Archives/edgar/data/1541401/000162828018002431/0001628280-18-002431-index.htm,https://www.sec.gov/Archives/edgar/data/1541401/000162828019002205/0001628280-19-002205-index.htm,https://www.sec.gov/Archives/edgar/data/1541401/000162828020002550/0001628280-20-002550-index.htm,https://www.sec.gov/Archives/edgar/data/1541401/000162828021003417/0001628280-21-003417-index.htm,https://www.sec.gov/Archives/edgar/data/1541401/000162828022003942/0001628280-22-003942-index.htm
102,false,,,,,,,,,,,,,,
