,https://roic.ai/company/GNBT,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,20114595,210083,208906,592525,530222,321670,350028,418500,743101,583594,7087502,7103680
14,Depreciation and Amortization,- -,10000,31096,79784,86808,230600,431547,589836,1014572,5086866,17094702,1774827,4773659,805806,780250,742961,612658,463718,368447,380680,265210,5045,23780,426440,1003816
15,EBITDA,-360000,-1350000,-4520000,-6150000,-8950000,-26869400,-14100000,-13260000,-17345428,-18913134,-50875298,-21735173,-31456341,-24889599,-24289667,-20728133,-8284817,-5670000,-4030000,-2949320,-2804790,-14974950,36941474,-1827468,-25227534
16,EBITDA ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-26.8694,-Infinity,-Infinity,-27.5324,-48.4952,-282.6405,-120.7510,-241.9719,-22.2229,-20.7604,-71.4763,-276.1606,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,52.5304,-0.2946,-9.4791
17,Operating Income,-360000,-1360000,-4600313,-6227630,-9043955,-31437539,-14530446,-13848690,-18565341,-18558421,-18705983,-24876102,-33445470,-26256160,-29429817,-24533082,-10024048,-6129359,-4399679,-3883074,-1902568,-1596841,-2495609,-24345441,-17937210
18,Operating Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-31.4375,-Infinity,-Infinity,-29.4688,-47.5857,-103.9221,-138.2006,-257.2728,-23.4430,-25.1537,-84.5968,-334.1349,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-3.5487,-3.9243,-6.7398
19,Total Other Income Expenses (Gains),- -,- -,-9687,-12370,203955,1357539,780446,588690,205341,-5441579,-49264017,1366102,-2784530,-19553840,4149817,2853082,534048,-2420641,- -,1693074,-1317432,-75233159,38444309,13338651,-16294883
20,Income Before Tax,-360000,-1360000,-4610000,-6240000,-8840000,-30080000,-13750000,-13260000,-18360000,-24000000,-67970000,-23510000,-36230000,-45810000,-25280000,-21680000,-9490000,-8550000,- -,-2190000,-3220000,-76830000,35948700,-11006790,-34232093
21,Income Before Tax Ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-30.0800,-Infinity,-Infinity,-29.1429,-61.5385,-377.6111,-130.6111,-278.6923,-40.9018,-21.6068,-74.7586,-316.3333,-Infinity,- -,-Infinity,-Infinity,-Infinity,51.1187,-1.7742,-12.8625
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,-360000,-1360000,-4610000,-6240000,-8840000,-27100000,-13690000,-13260000,-18360000,-24000000,-67970000,-23510000,-36230000,-45810000,-25280000,-21680000,-9490000,-8550000,- -,-2190000,-3220000,-70020000,36334100,-9341410,-33335030
24,Net Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-27.1000,-Infinity,-Infinity,-29.1429,-61.5385,-377.6111,-130.6111,-278.6923,-40.9018,-21.6068,-74.7586,-316.3333,-Infinity,- -,-Infinity,-Infinity,-Infinity,51.6667,-1.5058,-12.5254
25,EPS,-7.20,-4.25,-15.65,-15.99,-19.73,-48.98,-23.81,-22.79,-21.77,-22.45,-30.61,-7.48,-11.22,-10.88,-3.40,-2.72,-1.02,-0.68,-0.10,-0.10,-0.14,-2.41,1.16,-0.14,-0.46
26,EPS Diluted,-7.20,-4.25,-15.65,-15.99,-19.73,-48.98,-23.81,-22.79,-21.77,-22.45,-30.61,-7.48,-11.22,-10.88,-3.40,-2.72,-1.02,-0.68,-0.10,-0.10,-0.14,-2.41,0.48,-0.14,-0.46
27,Weighted Average Shares Outstanding,50000,320000,296318,389851,446579,551810,607406,614023,886925,1074197,2217237,3187431,3263141,4245649,7377910,8373663,9770607,13041229,19981129,23324398,25899676,29026267,31402169,67704177,73113246
28,Weighted Average Shares Outstanding Diluted,50000,320000,296318,389851,446579,551810,607406,614023,886925,1074197,2217237,3187431,3263141,4245649,7377910,8373663,9770607,13041229,19981129,23324398,25899676,29026267,76179192,67704177,73113246
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1059784/000095011599001343/0000950115-99-001343-index.html,https://www.sec.gov/Archives/edgar/data/1059784/000095011600002614/0000950116-00-002614-index.html,https://www.sec.gov/Archives/edgar/data/1059784/000095011601501022/0000950116-01-501022-index.html,- -,https://www.sec.gov/Archives/edgar/data/1059784/000095011603004209/0000950116-03-004209-index.html,- -,https://www.sec.gov/Archives/edgar/data/1059784/000114420405033237/v027763.htm,https://www.sec.gov/Archives/edgar/data/1059784/000114420406042440/v054867_10k.htm,https://www.sec.gov/Archives/edgar/data/1059784/000114420407054286/0001144204-07-054286-index.html,https://www.sec.gov/Archives/edgar/data/1059784/000114420408057119/0001144204-08-057119-index.html,https://www.sec.gov/Archives/edgar/data/1059784/000143774909001455/0001437749-09-001455-index.html,https://www.sec.gov/Archives/edgar/data/1059784/000114420410053800/0001144204-10-053800-index.html,https://www.sec.gov/Archives/edgar/data/1059784/000114420411057907/0001144204-11-057907-index.html,https://www.sec.gov/Archives/edgar/data/1059784/000114420412056138/0001144204-12-056138-index.html,https://www.sec.gov/Archives/edgar/data/1059784/000155479513000602/0001554795-13-000602-index.html,https://www.sec.gov/Archives/edgar/data/1059784/000160706214000128/0001607062-14-000128-index.html,https://www.sec.gov/Archives/edgar/data/1059784/000160706215000445/0001607062-15-000445-index.html,https://www.sec.gov/Archives/edgar/data/1059784/000160706217000019/gnbt073116form10k.htm,https://www.sec.gov/Archives/edgar/data/1059784/000160706217000349/0001607062-17-000349-index.html,https://www.sec.gov/Archives/edgar/data/1059784/000160706218000361/0001607062-18-000361-index.html,https://www.sec.gov/Archives/edgar/data/1059784/000160706219000429/gnbt073119form10k.htm,https://www.sec.gov/Archives/edgar/data/1059784/000160706220000327/0001607062-20-000327-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,200000,2090000,5630000,3210000,10110000,8130000,12360000,4950000,590000,38210000,21030000,17240000,14200000,13880000,2800000,250000,1710000,3270000,749970,16900,2879170,1046370,298490,15452
32,Short-Term Investments,- -,- -,- -,230000,3970000,26890000,12860000,2360000,- -,- -,14370000,14010000,8850000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,200000,2090000,5860000,7180000,37000000,20990000,14720000,4950000,590000,52580000,35040000,26090000,14200000,13880000,2800000,250000,1710000,3270000,749970,16900,2879170,1046370,298490,15452
34,Net Receivables,- -,270000,210000,180000,20000,1040000,1130000,- -,- -,- -,- -,60000,80000,60000,70000,10000,- -,- -,- -,- -,- -,- -,33560,36310,164871
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,120000,1470000,1270000,1910000,720000,- -,- -,- -,- -,- -,10040,12080,363010,742256
36,Other Current Assets,- -,40000,240000,130000,90000,110000,220000,510000,1080000,710000,240000,470000,890000,760000,340000,220000,200000,100000,200000,51240,8080,21880,96240,275730,332268
37,Total Current Assets,- -,510000,2540000,6170000,7290000,38150000,22340000,15230000,6030000,1300000,52820000,35690000,28530000,16290000,16200000,3750000,450000,1810000,3470000,801210,24980,2911090,1188250,973540,1254847
38,PP&E,- -,50000,1640000,1880000,2400000,3730000,4030000,4220000,4290000,3980000,2590000,2140000,1750000,1450000,1330000,1270000,700000,90000,10000,2870,1300,570,31540,499990,251808
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,38297570,34489342
40,Intangible Assets,- -,- -,- -,- -,270000,430000,830000,900000,5700000,5440000,5100000,4890000,3950000,3700000,3530000,3350000,2630000,2320000,2050000,1430020,- -,2937230,3211040,9834270,9365526
41,Intangible Assets,- -,- -,- -,- -,270000,430000,830000,900000,5700000,5440000,5100000,4890000,3950000,3700000,3530000,3350000,2630000,2320000,2050000,1430020,- -,2937230,3211040,48131840,43854868
42,Investments,- -,- -,80000,70000,50000,20000,630000,30000,400000,- -,- -,- -,- -,3373564,3503110,3634929,858377,640772,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,3110000,960000,770000,330000,340000,330000,2260000,2590000,2750000,3600000,3680000,3920000,6436,16890,5071,1623,-10772,-10000,-10,-10,4245660,2176020,30620,21421
45,Total Non-Current Assets,- -,3160000,2680000,2720000,3050000,4520000,5820000,7410000,12980000,12170000,11290000,10710000,9620000,8530000,8380000,8260000,4190000,3040000,2050000,1432880,1290,7183460,5418600,48662450,44128097
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,3670000,5220000,8890000,10340000,42670000,28160000,22640000,19010000,13470000,64110000,46400000,38150000,24820000,24580000,12010000,4640000,4850000,5520000,2234090,26270,10094550,6606850,49635990,45382944
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,23907718
49,Short-Term Debt,- -,- -,411565,550589,9404,9634,172453,426767,1366122,4211635,588553,84503,6551204,1104624,1149679,1210271,1222746,617665,- -,- -,50000,13738140,14184241,8388079,10734656
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,33314000,125598000,140883000,396195000,369748000,263125,224843,223662,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,220000,1638435,429411,1200596,2650366,1897547,1383233,1943878,2408365,5441447,-26118503,-117999204,-133257624,-389244679,-361638271,7014129,7657492,8036338,8018330,8950870,10172610,11044779,20557941,6729080
53,Total Current Liabilities,- -,220000,2050000,980000,1210000,2660000,2070000,1810000,3310000,6620000,6030000,7280000,14150000,8730000,8100000,9320000,8500000,8500000,8260000,8018330,9000870,23910750,25229020,28946020,41371454
54,Long-Term Debt,- -,- -,530000,450000,710000,680000,490000,1470000,860000,720000,2610000,3060000,1360000,1860000,1820000,1870000,440000,- -,- -,- -,- -,- -,- -,- -,499656
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-477011,-243681,- -,- -,- -,- -,- -,1502122,- -
57,Other Non-Current Liabilities,- -,- -,- -,150000,10000,- -,- -,- -,- -,- -,- -,-10000,-10000,- -,5680000,9260000,4557011,6733681,3350000,2506080,2242250,60541560,19386230,28489688,15470104
58,Total Non-Current Liabilities,- -,- -,530000,600000,720000,680000,490000,1470000,860000,720000,2610000,3050000,1350000,1860000,7500000,11130000,4520000,6490000,3350000,2506080,2242250,60541560,19386230,29991810,15969760
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,47768,7818,- -,- -,- -,- -,- -,- -,- -,- -,- -,38253
61,Total Liabilities,- -,220000,2580000,1580000,1930000,3340000,2560000,3280000,4170000,7340000,8640000,10330000,15500000,10590000,15600000,20450000,13020000,14990000,11610000,10524410,11243120,84452310,44615250,58937830,57341214
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,1,1,1,1,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4,4,- -,- -
63,Common Stock,- -,10000,10000,20000,20000,20000,20000,30000,30000,40000,110000,110000,110000,210000,270000,310000,350000,580000,780000,825500,908540,2170020,2170020,62290,82251
64,Retained Earnings,- -,-1720000,-6330000,-12980000,-21820000,-48910000,-63330000,-77350000,-96530000,-120530000,-188500000,-212000000,-248230000,-294040000,-325300000,-347740000,-357610000,-367890000,-369950000,-372481260,-375704370,-445720570,-409386470,-418727880,-452062905
65,Other Comprehensive Income/Loss,- -,-10000,-40000,-120000,-210000,-410000,-790000,-271220,-88432,568849,754081,881807,914495,651587,784183,869575,777615,765103,772074,808737,798872,783150,798422,797216,780296
66,Other Total Stockholders Equity,- -,5170000,9002299,20389849,30425025,88622440,76962592,83448184,97118182,126048153,243099712,247078785,269852312,307402155,333216437,338118289,348102194,356403565,362307868,362556703,362780108,368409630,368409628,408566534,429744379
67,Total Stockholders Equity,- -,3450000,2642299,7309849,8415025,39322440,12862592,5856965,529751,6127003,55463794,36070592,22646807,14223742,8970620,-8442136,-8380191,-10141332,-6090058,-8290320,-11216850,-74357766,-38008396,-9301840,-21455979
68,Total Liabilities And Stockholders Equity,- -,3670000,5222299,8889849,10345025,42662440,15422592,9136965,4699751,13467003,64103794,46400592,38146807,24813742,24570620,12007864,4639809,4848668,5519942,2234090,26270,10094544,6606854,49635990,35885235
69,Minority Interest,- -,- -,-2299,151,-5025,7560,12737408,13503035,14310249,2997,6206,-592,3193,6258,9380,2136,191,1332,58,- -,- -,6,-4,- -,9497709
70,Total Liabilities & Equity,- -,3670000,5220000,8890000,10340000,42670000,28160000,22640000,19010000,13470000,64110000,46400000,38150000,24820000,24580000,12010000,4640000,4850000,5520000,2234090,26270,10094550,6606850,49635990,45382944
71,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1059784/000095011599001343/0000950115-99-001343-index.html,https://www.sec.gov/Archives/edgar/data/1059784/000095011600002614/0000950116-00-002614-index.html,https://www.sec.gov/Archives/edgar/data/1059784/000095011601501022/0000950116-01-501022-index.html,- -,https://www.sec.gov/Archives/edgar/data/1059784/000095011603004209/0000950116-03-004209-index.html,- -,https://www.sec.gov/Archives/edgar/data/1059784/000114420405033237/v027763.htm,https://www.sec.gov/Archives/edgar/data/1059784/000114420406042440/v054867_10k.htm,https://www.sec.gov/Archives/edgar/data/1059784/000114420407054286/0001144204-07-054286-index.html,https://www.sec.gov/Archives/edgar/data/1059784/000114420408057119/0001144204-08-057119-index.html,https://www.sec.gov/Archives/edgar/data/1059784/000143774909001455/0001437749-09-001455-index.html,https://www.sec.gov/Archives/edgar/data/1059784/000114420410053800/0001144204-10-053800-index.html,https://www.sec.gov/Archives/edgar/data/1059784/000114420411057907/0001144204-11-057907-index.html,https://www.sec.gov/Archives/edgar/data/1059784/000114420412056138/0001144204-12-056138-index.html,https://www.sec.gov/Archives/edgar/data/1059784/000155479513000602/0001554795-13-000602-index.html,https://www.sec.gov/Archives/edgar/data/1059784/000160706214000128/0001607062-14-000128-index.html,https://www.sec.gov/Archives/edgar/data/1059784/000160706215000445/0001607062-15-000445-index.html,https://www.sec.gov/Archives/edgar/data/1059784/000160706217000019/gnbt073116form10k.htm,https://www.sec.gov/Archives/edgar/data/1059784/000160706217000349/0001607062-17-000349-index.html,https://www.sec.gov/Archives/edgar/data/1059784/000160706218000361/0001607062-18-000361-index.html,https://www.sec.gov/Archives/edgar/data/1059784/000160706219000429/gnbt073119form10k.htm,https://www.sec.gov/Archives/edgar/data/1059784/000160706220000327/0001607062-20-000327-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-360000,-1360000,-4610000,-6240000,-8840000,-27100000,-13690000,-13260000,-18360000,-24000000,-67970000,-23510000,-36230000,-45810000,-25280000,-21680000,-9490000,-8550000,- -,-2190000,-3220000,-70020000,36334100,-9341410,-33335030
74,Depreciation and Amortization,- -,10000,31096,79784,86808,230600,431547,589836,1014572,5086866,17094702,1774827,4773659,805806,780250,742961,612658,463718,368447,380680,265210,5045,23780,426440,1003816
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1768977,2447202,2091004,130544,837754,392871,- -,27344,- -,- -,3006203,2069343
77,Change in Working Capital,-60000,290000,1120864,-46953,965206,1467692,-848929,-619300,-117743,3986825,3789764,1514977,-467967,258095,2100570,3159107,-578203,209471,-595548,-193581,1100031,994126,762209,11075618,10084838
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14146,-12482,62200,8470,- -,- -,- -,- -,980,-33555,-750241,-6272
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-117502,- -,147591,-618401,1197768,716392,- -,- -,- -,- -,11106,-2040,1126424,-113177
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9503673
81,Other Working Capital,- -,290000,110317,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13325,252042,-28152,-105395,-38282,-1181,-223662,- -,4630,- -,-22797,12383
82,Other Non-Cash Items,- -,-220000,1042749,1798426,1871306,2739286,375293,1320330,1581213,3526164,36512118,2989131,3614844,20329606,-2360149,-1244440,1281022,3377823,-3739395,-881835,1051932,67850480,-39413303,-14741044,14055774
83,Cash Provided by Operating Activities,-420000,-1280000,-2415291,-4408743,-5916680,-22662422,-13732089,-11969134,-15881958,-11400145,-10573416,-17231065,-28309464,-22647516,-22312127,-16931368,-8043979,-3661234,-3573625,-2884736,-775483,-1170349,-2293214,-9574193,-6121259
84,CAPEX,-20000,-40000,-16287,-217018,-381163,-1623017,-779519,-506108,-646383,-63735,-264001,-302310,-289896,-153533,-388485,-287367,-176191,-78948,-89481,-90982,- -,- -,-8552,-316404,-4616
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12363,- -,2280425,49305
86,Purchases of Investments,- -,- -,-24698,- -,-3733918,-22926466,- -,-10069597,-4638783,-6300,-22972653,-22434848,-23148371,- -,- -,- -,- -,- -,- -,- -,- -,-4000000,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,14029972,20570283,7000854,- -,8600000,22795763,28307895,8852214,- -,- -,- -,- -,- -,- -,- -,4000000,- -,- -,- -
88,Other Investing Activites,-1910000,-1320000,244628,301526,37076,-1203963,-1168088,-213495,-630251,221793,187229,-196457,51219,-152148,-228777,-234984,4779550,1685060,794299,-90982,- -,- -,- -,328285,- -
89,Cash Used for Investing Activites,-1930000,-1360000,203643,84508,-4078005,-25753446,12082365,9781083,1085437,151758,-14449425,-137852,4920847,8698681,-388485,-287367,4777134,1685060,794299,-90982,- -,12363,-8552,2318793,44689
90,Debt Repayment,- -,- -,-63389,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4624583,-100030,-116632,-4821511,-1833265,-606806,- -,- -,-688951,- -,-51625,-935731
91,Common Stock Issued,- -,- -,2959672,8488798,8045474,52353556,27500,6537484,7281379,- -,49578824,426931,391790,15453234,20900289,3939000,- -,- -,- -,- -,- -,- -,- -,- -,109770
92,Common Stock Repurchased,2380000,2790000,- -,-119066,- -,- -,-395531,-88338,- -,- -,- -,-100,-378456,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,1229173,-498132,-480738,2979792,43197,-59379,88027,6881136,13070812,-247550,19637775,165170,1534112,2307759,5567988,5294423,4957470,481416,52952,4724900,453694,6560351,6636418
95,Cash Used/Provided by Financing Activities,2380000,2790000,4125456,7871600,7564736,55333348,-324834,6389767,7369406,6881136,62649636,179281,19651109,10993821,22334371,6130127,746477,3461158,4350664,481416,52952,4035949,453694,6508726,5810457
96,Effect of Forex Changes on Cash,- -,20000,-18985,-4991,1653,-12826,-3538,23399,20956,3362,-4832,7210,-51049,-85448,50063,6535,-32120,-22339,-10803,-25222,-10535,-15698,15272,-1206,-16920
97,Net Change In Cash,30000,170000,1894823,3542374,-2428296,6904654,-1978096,4225115,-7406159,-4363889,37621963,-17182426,-3788557,-3040462,-316178,-11082073,-2552488,1462645,1560535,-2519524,-733066,2862266,-1832800,-747880,-283033
98,Cash at the End of Period,1076370,170000,2090827,5633201,3204905,10109559,8131463,12356578,4950419,586530,38208493,21026067,17237510,14197048,13880870,2798797,246309,1708954,3269489,749965,16899,2879165,1046365,298485,15452
99,Cash at the Beginning of Period,1046370,- -,196004,2090827,5633201,3204905,10109559,8131463,12356578,4950419,586530,38208493,21026067,17237510,14197048,13880870,2798797,246309,1708954,3269489,749965,16899,2879165,1046365,298485
100,Free Cash Flow,-440000,-1320000,-2431578,-4625761,-6297843,-24285439,-14511608,-12475242,-16528341,-11463880,-10837417,-17533375,-28599360,-22801049,-22700612,-17218735,-8220170,-3740182,-3663106,-2975718,-775483,-1170349,-2301766,-9890597,-6125875
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1059784/000095011599001343/0000950115-99-001343-index.html,https://www.sec.gov/Archives/edgar/data/1059784/000095011600002614/0000950116-00-002614-index.html,https://www.sec.gov/Archives/edgar/data/1059784/000095011601501022/0000950116-01-501022-index.html,- -,https://www.sec.gov/Archives/edgar/data/1059784/000095011603004209/0000950116-03-004209-index.html,- -,https://www.sec.gov/Archives/edgar/data/1059784/000114420405033237/v027763.htm,https://www.sec.gov/Archives/edgar/data/1059784/000114420406042440/v054867_10k.htm,https://www.sec.gov/Archives/edgar/data/1059784/000114420407054286/0001144204-07-054286-index.html,https://www.sec.gov/Archives/edgar/data/1059784/000114420408057119/0001144204-08-057119-index.html,https://www.sec.gov/Archives/edgar/data/1059784/000143774909001455/0001437749-09-001455-index.html,https://www.sec.gov/Archives/edgar/data/1059784/000114420410053800/0001144204-10-053800-index.html,https://www.sec.gov/Archives/edgar/data/1059784/000114420411057907/0001144204-11-057907-index.html,https://www.sec.gov/Archives/edgar/data/1059784/000114420412056138/0001144204-12-056138-index.html,https://www.sec.gov/Archives/edgar/data/1059784/000155479513000602/0001554795-13-000602-index.html,https://www.sec.gov/Archives/edgar/data/1059784/000160706214000128/0001607062-14-000128-index.html,https://www.sec.gov/Archives/edgar/data/1059784/000160706215000445/0001607062-15-000445-index.html,https://www.sec.gov/Archives/edgar/data/1059784/000160706217000019/gnbt073116form10k.htm,https://www.sec.gov/Archives/edgar/data/1059784/000160706217000349/0001607062-17-000349-index.html,https://www.sec.gov/Archives/edgar/data/1059784/000160706218000361/0001607062-18-000361-index.html,https://www.sec.gov/Archives/edgar/data/1059784/000160706219000429/gnbt073119form10k.htm,https://www.sec.gov/Archives/edgar/data/1059784/000160706220000327/0001607062-20-000327-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,
